episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,heuristic_used,total_nodes_expanded,max_frontier_size,final_heuristic_cost,final_total_cost,search_depth,num_edges_visited
0,CP2,24584377#4,-1076782195#0,1,624.0,72,3451.5200000000004,-1076782195#0,624,True,Euclidean,1853,53,3360.5700000000006,3360.5700000000006,116,72
1,CP2,-577982260#5,-38235041#6,1,228.0,58,2217.3199999999997,-38235041#6,228,True,Euclidean,1365,50,2184.1499999999996,2184.1499999999996,72,58
2,CP2,44263457#1,293153163#0,1,108.0,23,973.6700000000001,293153163#0,108,True,Euclidean,392,40,950.45,950.45,39,23
3,CP2,714986188#2,-1354558617,1,161.0,38,1909.9600000000005,-1354558617,161,True,Euclidean,1452,86,1909.7600000000004,1909.7600000000004,73,38
4,CP2,1122215529#0,-1121139432#1,1,521.0,58,2327.42,-1121139432#1,521,True,Euclidean,1497,66,2307.28,2307.28,72,58
5,CP2,-319329101#6,142865883#1,1,542.0,51,2429.8900000000012,142865883#1,542,True,Euclidean,1263,68,2428.630000000001,2428.630000000001,60,51
6,CP2,-1076782195#1,-293153159#0,1,685.0,49,2638.2000000000003,-293153159#0,685,True,Euclidean,1341,50,2614.88,2614.88,78,49
7,CP2,24584385#2,24577096#0,1,157.0,33,1028.21,24577096#0,157,True,Euclidean,316,42,1000.55,1000.55,34,33
8,CP2,-343654534#2,24583332#9,1,254.0,40,1696.5300000000002,24583332#9,254,True,Euclidean,1110,58,1650.3100000000002,1650.3100000000002,61,40
9,CP2,579781481#10,-1072914441,1,532.0,39,1685.81,-1072914441,532,True,Euclidean,1052,74,1570.01,1570.01,61,39
10,CP2,578543603#0,370672194#4,1,179.0,46,1307.8100000000004,370672194#4,179,True,Euclidean,827,56,1246.6200000000003,1246.6200000000003,49,46
11,CP2,-80418095#5,-24583590#3,1,379.0,68,2612.3100000000004,-24583590#3,379,True,Euclidean,1437,58,2478.76,2478.76,83,68
12,CP2,80926788#1,-83675250#2,1,593.0,33,1259.51,-83675250#2,593,True,Euclidean,428,35,1232.4,1232.4,52,33
13,CP2,-1292286060#0,-154090267#2,1,249.0,41,1799.9900000000007,-154090267#2,249,True,Euclidean,892,48,1728.9500000000007,1728.9500000000007,57,41
14,CP2,656933877#5,24583489#13,1,606.0,62,2127.21,24583489#13,606,True,Euclidean,966,35,2116.04,2116.04,87,62
15,CP2,578543603#4,423618440#0,1,688.0,61,2651.599999999999,423618440#0,688,True,Euclidean,1819,58,2566.529999999999,2566.529999999999,86,61
16,CP2,23133600#1,996679779#0,1,318.0,29,1082.0900000000001,996679779#0,318,True,Euclidean,396,52,1060.38,1060.38,38,29
17,CP2,1072914437#0,24577118#2,1,785.0,77,3003.8099999999995,24577118#2,785,True,Euclidean,1699,57,2947.8799999999997,2947.8799999999997,90,77
18,CP2,611866602#4,24583592#4,1,262.0,19,855.6700000000002,24583592#4,262,True,Euclidean,225,19,836.7300000000001,836.7300000000001,44,19
19,CP2,686771927#1,24583327#0,1,380.0,64,2957.74,24583327#0,380,True,Euclidean,1340,51,2901.72,2901.72,82,64
20,CP2,370672197#6,-1122220358#0,1,721.0,75,2848.3,-1122220358#0,721,True,Euclidean,1082,50,2782.5800000000004,2782.5800000000004,98,75
21,CP2,-370672197#4,-700293875#0,1,621.0,40,1167.83,-700293875#0,621,True,Euclidean,249,27,1111.85,1111.85,42,40
22,CP2,-1216791011#2,-391534135#5,1,344.0,45,2017.1200000000003,-391534135#5,344,True,Euclidean,666,36,2009.3700000000003,2009.3700000000003,53,45
23,CP2,-1386084973,-686696454#2,1,354.0,40,1562.13,-686696454#2,354,True,Euclidean,642,44,1504.93,1504.93,49,40
24,CP2,24584375#10,1067100260#1,1,856.0,65,2141.3400000000006,1067100260#1,856,True,Euclidean,945,50,2123.4500000000007,2123.4500000000007,72,65
25,CP2,1000448884#3,-360250362#0,1,754.0,52,1919.96,-360250362#0,754,True,Euclidean,1402,74,1888.3700000000001,1888.3700000000001,68,52
26,CP2,-561672577#0,80418094#0,1,743.0,39,2157.75,80418094#0,743,True,Euclidean,1077,49,2144.39,2144.39,102,39
27,CP2,24584384#0,24583495#11,1,720.0,38,1293.7900000000002,24583495#11,720,True,Euclidean,543,47,1293.5900000000001,1293.5900000000001,40,38
28,CP2,-24583593#6,423618433#2,1,876.0,97,3308.1799999999985,423618433#2,876,True,Euclidean,1851,57,3234.2899999999986,3234.2899999999986,100,97
29,CP2,-24583584#6,1074774613,1,460.0,45,1733.0099999999998,1074774613,460,True,Euclidean,1065,49,1678.3999999999999,1678.3999999999999,60,45
30,CP2,998790355#0,24584378#4,1,772.0,57,1853.5100000000002,24584378#4,772,True,Euclidean,1130,50,1796.8300000000002,1796.8300000000002,71,57
31,CP2,656933868,563679821#2,1,455.0,50,1715.5800000000002,563679821#2,455,True,Euclidean,648,27,1645.64,1645.64,72,50
32,CP2,-370765175#1,-1121142415,1,418.0,44,1020.9100000000002,-1121142415,418,True,Euclidean,342,30,989.7700000000002,989.7700000000002,54,44
33,CP2,-717454375#1,-612734122,1,799.0,46,2134.22,-612734122,799,True,Euclidean,964,59,2104.7599999999998,2104.7599999999998,62,46
34,CP2,-293153159#3,80418131#2,1,889.0,39,1831.2300000000002,80418131#2,889,True,Euclidean,745,43,1820.1300000000003,1820.1300000000003,55,39
35,CP2,700293877#1,-750482273#1,1,515.0,35,1993.7400000000002,-750482273#1,515,True,Euclidean,1057,51,1985.0800000000002,1985.0800000000002,101,35
36,CP2,253307767#2,1119548738#1,1,475.0,40,1260.65,1119548738#1,475,True,Euclidean,651,66,1211.3000000000002,1211.3000000000002,48,40
37,CP2,74851423#8,123406184#0,1,1000.0,73,2653.8499999999995,-123406184#1,1000,False,Euclidean,1607,58,2653.6499999999996,2653.6499999999996,112,73
38,CP2,-553590478#2,-44263461#6,1,926.0,58,1921.5600000000004,-44263461#6,926,True,Euclidean,897,39,1891.5700000000004,1891.5700000000004,98,58
39,CP2,24577361#9,-577982260#2,1,489.0,24,1209.3299999999997,-577982260#2,489,True,Euclidean,423,32,1193.7399999999998,1193.7399999999998,48,24
40,CP2,24583330#2,717454379#4,1,572.0,50,2449.8599999999997,717454379#4,572,True,Euclidean,1530,60,2413.0199999999995,2413.0199999999995,81,50
41,CP2,998790358#4,154356516#0,1,556.0,51,2246.55,154356516#0,556,True,Euclidean,1325,61,2224.32,2224.32,75,51
42,CP2,-1277942000#5,-1122228221,1,553.0,84,1751.7300000000007,-1122228221,553,True,Euclidean,761,33,1747.6600000000008,1747.6600000000008,86,84
43,CP2,-154356520#1,24584373#0,1,966.0,42,2659.3899999999994,24584373#0,966,True,Euclidean,1281,51,2653.6799999999994,2653.6799999999994,79,42
44,CP2,563974735#10,1122230049#1,1,554.0,30,1338.3899999999999,1122230049#1,554,True,Euclidean,962,54,1305.33,1305.33,60,30
45,CP2,-1144624113#3,1075734524#1,1,877.0,31,1809.5199999999995,1075734524#1,877,True,Euclidean,597,55,1783.9399999999996,1783.9399999999996,53,31
46,CP2,998790358#17,169081335#1,1,1000.0,102,3177.959999999999,-169081335#2,1000,False,Euclidean,1776,57,2906.189999999999,2906.189999999999,103,102
47,CP2,995793692#1,686792698#0,1,931.0,51,1752.36,686792698#0,931,True,Euclidean,1285,69,1745.37,1745.37,62,51
48,CP2,-1072922044#2,38699591#6,1,736.0,58,2700.359999999999,38699591#6,736,True,Euclidean,1234,55,2699.2999999999993,2699.2999999999993,75,58
49,CP2,31056644#0,23133600#3,1,738.0,66,2380.8,23133600#3,738,True,Euclidean,929,39,2363.34,2363.34,68,66
50,CP2,-561672577#0,24584380#1,1,760.0,120,3025.8700000000003,24584380#1,760,True,Euclidean,1747,49,3001.5000000000005,3001.5000000000005,121,120
51,CP2,-164675827#2,1153925787#0,1,900.0,25,936.11,1153925787#0,900,True,Euclidean,367,54,882.73,882.73,35,25
52,CP2,1202691839#0,80926764#6,1,966.0,79,1896.4300000000007,80926764#6,966,True,Euclidean,922,40,1878.2300000000007,1878.2300000000007,79,79
53,CP2,700293876#1,-577982260#4,1,658.0,76,1717.0100000000007,-577982260#4,658,True,Euclidean,777,38,1630.8300000000006,1630.8300000000006,83,76
54,CP2,1386086511#0,-24584392#5,1,637.0,30,1602.74,-24584392#5,637,True,Euclidean,601,43,1453.98,1453.98,51,30
55,CP2,74851423#2,686925959,1,1000.0,59,2187.7999999999997,38235041#7,1000,False,Euclidean,1339,56,2168.4999999999995,2168.4999999999995,77,59
56,CP2,-686847276#1,24584378#1,1,852.0,52,2525.6200000000013,24584378#1,852,True,Euclidean,939,60,2454.570000000001,2454.570000000001,60,52
57,CP2,24583491#0,-24583587#0,1,685.0,32,1231.3999999999999,-24583587#0,685,True,Euclidean,549,54,1231.1999999999998,1231.1999999999998,54,32
