episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,heuristic_used,total_nodes_expanded,max_frontier_size,final_heuristic_cost,final_total_cost,search_depth,num_edges_visited
0,Safdarjung,292023764#4,-1122281742,1,431.0,25,981.72,-1122281742,431,True,Euclidean,503,54,965.73,965.73,38,25
1,Safdarjung,-292025840#1,-292024880#1,1,481.0,23,1320.24,-292024880#1,481,True,Euclidean,550,54,1307.17,1307.17,39,23
2,Safdarjung,292027015#1,292024872#5,1,405.0,16,769.2600000000002,292024872#5,405,True,Euclidean,421,44,745.3200000000002,745.3200000000002,36,16
3,Safdarjung,605695087#12,-1246781006#0,1,764.0,24,1336.9800000000002,-1246781006#0,764,True,Euclidean,518,40,1289.1600000000003,1289.1600000000003,42,24
4,Safdarjung,-776771535#1,-1184126822#1,1,59.0,6,139.07,-1184126822#1,59,True,Euclidean,18,15,120.63,120.63,8,6
5,Safdarjung,-1120528080,-292024662#4,1,442.0,19,632.0299999999999,-292024662#4,442,True,Euclidean,87,17,618.7299999999999,618.7299999999999,19,19
6,Safdarjung,292023824,1306331919,1,141.0,14,798.0899999999999,1306331919,141,True,Euclidean,228,63,700.04,700.04,35,14
7,Safdarjung,-292024704#0,189304970#3,1,193.0,30,1021.52,189304970#3,193,True,Euclidean,539,52,994.23,994.23,51,30
8,Safdarjung,423755579#6,-1080512081#1,1,760.0,14,645.88,-1080512081#1,760,True,Euclidean,171,36,645.68,645.68,22,14
9,Safdarjung,423755579#0-AddedOffRampEdge,292025078#2,1,536.0,26,1528.75,292025078#2,536,True,Euclidean,510,33,1510.47,1510.47,44,26
10,Safdarjung,-44680205#10,-291877903#1,1,557.0,45,1103.32,-291877903#1,557,True,Euclidean,348,46,1048.6,1048.6,47,45
11,Safdarjung,686651418#0,-46108373#3,1,476.0,19,584.6500000000001,-46108373#3,476,True,Euclidean,162,27,553.1600000000001,553.1600000000001,24,19
12,Safdarjung,-1246778611,-1307402759,1,959.0,39,1546.0800000000002,-1307402759,959,True,Euclidean,613,47,1510.16,1510.16,58,39
13,Safdarjung,46108373#9,28616709#4,1,289.0,32,900.8400000000004,28616709#4,289,True,Euclidean,498,51,889.1300000000003,889.1300000000003,44,32
14,Safdarjung,423755579#1,292027010#4,1,272.0,34,1163.1599999999999,292027010#4,272,True,Euclidean,378,30,1078.6799999999998,1078.6799999999998,38,34
15,Safdarjung,1246774345,773571761#1,1,636.0,39,1322.14,773571761#1,636,True,Euclidean,573,50,1216.44,1216.44,45,39
16,Safdarjung,44680205#7,291877904#2,1,610.0,43,987.25,291877904#2,610,True,Euclidean,330,36,944.32,944.32,45,43
17,Safdarjung,46108379#9,164802174#6,1,261.0,24,470.85999999999996,164802174#6,261,True,Euclidean,214,38,466.16999999999996,466.16999999999996,25,24
18,Safdarjung,292025080,-1185231632,1,578.0,32,674.9000000000001,-1185231632,578,True,Euclidean,204,30,673.33,673.33,32,32
19,Safdarjung,-292024872#5,-292027394#1,1,642.0,32,1260.84,-292027394#1,642,True,Euclidean,532,60,1250.23,1250.23,49,32
20,Safdarjung,-1239030821#0,-292025078#2,1,653.0,24,1438.7499999999998,-292025078#2,653,True,Euclidean,482,35,1420.4699999999998,1420.4699999999998,45,24
21,Safdarjung,-1306324405,-292027344,1,569.0,15,492.97000000000014,-292027344,569,True,Euclidean,165,31,425.7500000000001,425.7500000000001,19,15
22,Safdarjung,292023622,-682844000#0,1,682.0,29,638.19,-682844000#0,682,True,Euclidean,267,38,629.1600000000001,629.1600000000001,29,29
23,Safdarjung,-46108379#10,-292024872#0,1,695.0,38,1579.6,-292024872#0,695,True,Euclidean,571,37,1555.9199999999998,1555.9199999999998,64,38
24,Safdarjung,-292025667#1,684948940#0,1,467.0,63,1651.8600000000001,684948940#0,467,True,Euclidean,617,50,1580.7400000000002,1580.7400000000002,64,63
25,Safdarjung,292023821#0,291868047#1,1,255.0,3,122.57,291868047#1,255,True,Euclidean,12,11,66.08,66.08,4,3
26,Safdarjung,-291877904#3,292027010#3,1,628.0,15,518.47,292027010#3,628,True,Euclidean,258,38,517.98,517.98,25,15
27,Safdarjung,-291877163#0,-686638462#5,1,430.0,33,1056.02,-686638462#5,430,True,Euclidean,545,64,1024.44,1024.44,42,33
28,Safdarjung,924403692,292023820,1,983.0,25,793.1400000000001,292023820,983,True,Euclidean,337,51,704.9300000000001,704.9300000000001,30,25
29,Safdarjung,1307402760,292024876#3,1,760.0,37,1364.8999999999999,292024876#3,760,True,Euclidean,561,45,1350.81,1350.81,58,37
30,Safdarjung,46108373#3,31756505#5,1,1000.0,43,2266.0299999999997,-31756505#6,1000,False,Euclidean,682,48,2006.1399999999996,2006.1399999999996,59,43
31,Safdarjung,-292024872#6,-1184582476#0,1,792.0,12,721.0699999999999,-1184582476#0,792,True,Euclidean,218,30,704.9,704.9,33,12
32,Safdarjung,-317580221#0,-292027017,1,696.0,15,494.64,-292027017,696,True,Euclidean,181,34,434.09999999999997,434.09999999999997,24,15
33,Safdarjung,-292024662#1,686633494#0,1,656.0,6,143.76,686633494#0,656,True,Euclidean,20,16,143.56,143.56,7,6
34,Safdarjung,579272354#0,-44680203#5,1,904.0,59,1660.8999999999999,-44680203#5,904,True,Euclidean,515,35,1660.6999999999998,1660.6999999999998,59,59
35,Safdarjung,292024329#1,-773571759,1,737.0,22,760.73,-773571759,737,True,Euclidean,380,47,716.16,716.16,33,22
36,Safdarjung,605698329#2,1184127904,1,1000.0,16,683.45,924403692,1000,False,Euclidean,233,48,602.8800000000001,602.8800000000001,22,16
37,Safdarjung,-292025663#3,-292025663#2,1,686.0,4,158.04,-292025663#2,686,True,Euclidean,7,3,79.53999999999999,79.53999999999999,5,4
38,Safdarjung,1365044689,-292027013#0,1,1000.0,35,1167.75,-164802176#0,1000,False,Euclidean,341,35,1093.06,1093.06,40,35
39,Safdarjung,164802174#5,605695087#9,1,714.0,7,236.14,605695087#9,714,True,Euclidean,28,14,177.13,177.13,9,7
40,Safdarjung,-686638462#6,-292024876#1,1,578.0,29,1702.52,-292024876#1,578,True,Euclidean,584,39,1685.81,1685.81,65,29
41,Safdarjung,997648749#3,1237199969,1,1000.0,21,736.4999999999999,-1237199970,1000,False,Euclidean,247,34,734.9399999999999,734.9399999999999,37,21
42,Safdarjung,-1246774351,-1185231635,1,744.0,6,177.94000000000003,-1185231635,744,True,Euclidean,36,15,159.92000000000002,159.92000000000002,10,6
43,Safdarjung,-1306335976,292023488#0,1,462.0,6,367.63,292023488#0,462,True,Euclidean,93,31,293.83,293.83,12,6
44,Safdarjung,36326993#1,1080439109,1,528.0,23,644.35,1080439109,528,True,Euclidean,338,53,621.0,621.0,28,23
45,Safdarjung,-1185258350,-686646774#1,1,826.0,17,301.22999999999996,-686646774#1,826,True,Euclidean,87,27,280.92999999999995,280.92999999999995,17,17
46,Safdarjung,997643075,1246774350,1,542.0,24,619.2399999999999,1246774350,542,True,Euclidean,197,32,580.7199999999999,580.7199999999999,27,24
47,Safdarjung,773057400#0,46108379#8,1,498.0,11,325.64,46108379#8,498,True,Euclidean,67,32,262.69,262.69,12,11
48,Safdarjung,-111218026#0,292025685#1,1,832.0,7,488.88,292025685#1,832,True,Euclidean,67,18,423.89,423.89,12,7
49,Safdarjung,292024872#5,1246781007,1,533.0,9,407.88,1246781007,533,True,Euclidean,103,25,355.56,355.56,21,9
50,Safdarjung,-292025667#1,292023821#0,1,636.0,34,917.1700000000002,292023821#0,636,True,Euclidean,417,50,906.6400000000002,906.6400000000002,34,34
51,Safdarjung,-1307402760,111218029#4,1,914.0,22,781.59,111218029#4,914,True,Euclidean,381,44,761.32,761.32,28,22
52,Safdarjung,111218029#13,686646774#0,1,942.0,31,909.9300000000002,686646774#0,942,True,Euclidean,337,48,881.4700000000001,881.4700000000001,31,31
53,Safdarjung,579272354#0,-292027013#1,1,1000.0,38,1216.96,-1184582476#0,1000,False,Euclidean,375,35,1141.42,1141.42,40,38
54,Safdarjung,1185258350,-292023820,1,916.0,16,682.08,-292023820,916,True,Euclidean,285,37,593.87,593.87,23,16
55,Safdarjung,605698328#5,567831194#0,1,1000.0,40,1220.6100000000001,-46108375#3,1000,False,Euclidean,564,49,1209.23,1209.23,40,40
56,Safdarjung,-292027344,292023781#5,1,925.0,16,429.49999999999994,292023781#5,925,True,Euclidean,170,40,429.29999999999995,429.29999999999995,17,16
57,Safdarjung,235103533#3,-291877474#2,1,1000.0,31,677.5499999999998,291877474#1,1000,False,Euclidean,193,26,666.4499999999998,666.4499999999998,32,31
58,Safdarjung,29534879#1,1306323162,1,1000.0,56,1333.44,1184617300#0,1000,False,Euclidean,507,46,1286.28,1286.28,57,56
59,Safdarjung,-1076248781#1,-44680205#9,1,1000.0,60,1584.98,44680205#8,1000,False,Euclidean,567,37,1537.38,1537.38,61,60
60,Safdarjung,-111218035#0,682964522#3,1,940.0,9,429.30999999999995,682964522#3,940,True,Euclidean,59,17,256.64,256.64,11,9
61,Safdarjung,-292027393#2,-1190347818,1,1000.0,42,1498.23,292024873#1,1000,False,Euclidean,601,43,1472.35,1472.35,61,42
62,Safdarjung,579272357#1,686638461#0,1,1000.0,10,503.16999999999996,686638460,1000,False,Euclidean,13,7,480.85999999999996,480.85999999999996,10,10
63,Safdarjung,-1239066197,1185258350,1,1000.0,23,844.4300000000001,1184583581,1000,False,Euclidean,333,54,827.23,827.23,28,23
64,Safdarjung,-1211234342#0,292027394#2,1,1000.0,62,1575.8300000000006,292027392,1000,False,Euclidean,634,48,1561.9300000000005,1561.9300000000005,62,62
65,Safdarjung,1184582302,1307402759,1,1000.0,25,957.74,-46108378#2,1000,False,Euclidean,450,50,921.82,921.82,27,25
66,Safdarjung,-292025665,567831194#3,1,1000.0,13,720.84,423755576#2,1000,False,Euclidean,241,50,673.9100000000001,673.9100000000001,26,13
67,Safdarjung,-776773435,-292024872#3,1,802.0,26,1030.8000000000002,-292024872#3,802,True,Euclidean,488,46,1016.4200000000001,1016.4200000000001,46,26
68,Safdarjung,1246774349,292027010#4,1,735.0,14,530.07,292027010#4,735,True,Euclidean,141,41,445.59000000000003,445.59000000000003,25,14
69,Safdarjung,-292024648#0,-44680203#12,1,1000.0,38,1123.91,1080439109,1000,False,Euclidean,478,54,1123.71,1123.71,38,38
70,Safdarjung,994832896,292024648#0,1,1000.0,25,932.88,-292024648#1,1000,False,Euclidean,411,37,912.33,912.33,30,25
71,Safdarjung,1076248781#1,1239051719,1,776.0,16,946.36,1239051719,776,True,Euclidean,327,36,817.33,817.33,29,16
