episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,heuristic_used,total_nodes_expanded,max_frontier_size,final_heuristic_cost,final_total_cost,search_depth,num_edges_visited
0,RakabGanj,24584383#2,-1072963716#0,1,0,9,222.81,,0,False,straight_line,11,7,0.0,222.81,9,16
1,RakabGanj,-371342951#2,-24584503#1,1,0,46,1926.4700000000003,,0,False,straight_line,67,20,0.0,1926.4700000000003,46,85
2,RakabGanj,24584504#2,24584414#0,1,0,15,492.96000000000004,,0,False,straight_line,16,10,0.0,492.96000000000004,15,24
3,RakabGanj,700305760#0,-1271156421#2,1,0,28,1238.22,,0,False,straight_line,68,28,0.0,1238.22,28,94
4,RakabGanj,1073010466,-1072978656#0,1,0,26,1486.3899999999999,,0,False,straight_line,85,20,0.0,1486.3899999999999,26,103
5,RakabGanj,-24584418#3,138947059#1,1,0,7,384.5,,0,False,straight_line,12,9,0.0,384.5,7,20
6,RakabGanj,-1072963716#0,-24584420#0,1,0,13,533.0,,0,False,straight_line,21,14,0.0,533.0,13,33
7,RakabGanj,24584385#0,24583487#11,1,0,24,932.31,,0,False,straight_line,63,16,0.0,932.31,24,77
8,RakabGanj,-24584420#1,24584377#2,1,0,22,1019.1500000000001,,0,False,straight_line,57,16,0.0,1019.1500000000001,22,72
9,RakabGanj,48964551,-1060463406#1,1,0,23,1264.07,,0,False,straight_line,64,20,0.0,1264.07,23,82
10,RakabGanj,447141151#7,24584420#1,1,0,24,990.67,,0,False,straight_line,44,15,0.0,990.67,24,57
11,RakabGanj,-80926770,-24584383#4,1,0,15,906.98,,0,False,straight_line,38,13,0.0,906.98,15,49
12,RakabGanj,80926764#4,-80926781#1,1,0,15,1322.9099999999999,,0,False,straight_line,112,17,0.0,1322.9099999999999,15,127
13,RakabGanj,-1250154743#0,-164786644#0,1,0,34,1669.7600000000004,,0,False,straight_line,64,33,0.0,1669.7600000000004,34,95
14,RakabGanj,611866595#0,24584378#7,1,0,16,896.8699999999999,,0,False,straight_line,71,16,0.0,896.8699999999999,16,86
15,RakabGanj,447141155#0,24584503#2,1,0,14,888.2200000000001,,0,False,straight_line,58,16,0.0,888.2200000000001,14,72
16,RakabGanj,24583332#4,80926778#10,1,0,14,1095.97,,0,False,straight_line,84,18,0.0,1095.97,14,100
17,RakabGanj,1066625119#0,24583487#8,1,0,54,1929.2500000000002,,0,False,straight_line,231,20,0.0,1929.2500000000002,54,249
18,RakabGanj,581245359,24584380#9,1,0,9,663.85,,0,False,straight_line,20,16,0.0,663.85,9,34
19,RakabGanj,665150699#0,24584375#10,1,0,19,839.8300000000002,,0,False,straight_line,40,19,0.0,839.8300000000002,19,58
20,RakabGanj,24584420#6,-1122026496#0,1,0,28,1684.4699999999998,,0,False,straight_line,250,30,0.0,1684.4699999999998,28,272
21,RakabGanj,-24584420#8,-686834805#0,1,0,29,1328.79,,0,False,straight_line,95,25,0.0,1328.79,29,119
22,RakabGanj,-1122257058,-24584507#1,1,0,30,1476.67,,0,False,straight_line,128,35,0.0,1476.67,30,152
23,RakabGanj,-1271156413#1,-675478334#4,1,0,11,753.6899999999999,,0,False,straight_line,32,19,0.0,753.6899999999999,11,49
24,RakabGanj,24584381#8,1066625120#4,1,0,22,1508.64,,0,False,straight_line,126,29,0.0,1508.64,22,154
