episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,heuristic_used,total_nodes_expanded,max_frontier_size,final_heuristic_cost,final_total_cost,search_depth,num_edges_visited
0,Safdarjung,292023764#4,-1122281742,1,0,26,980.51,,0,False,straight_line,100,39,0.0,980.51,26,138
1,Safdarjung,-292025840#1,-292024880#1,1,0,22,1286.84,,0,False,straight_line,55,28,0.0,1286.84,22,82
2,Safdarjung,292027015#1,292024872#5,1,0,14,711.48,,0,False,straight_line,29,17,0.0,711.48,14,44
3,Safdarjung,605695087#12,-1246781006#0,1,0,34,1468.9000000000003,,0,False,straight_line,71,36,0.0,1468.9000000000003,34,105
4,Safdarjung,-776771535#1,-1184126822#1,1,0,5,241.10999999999999,,0,False,straight_line,8,7,0.0,241.10999999999999,5,13
5,Safdarjung,-1120528080,-292024662#4,1,0,18,574.04,,0,False,straight_line,49,15,0.0,574.04,18,61
6,Safdarjung,292023824,1306331919,1,0,11,467.14,,0,False,straight_line,17,14,0.0,467.14,11,29
7,Safdarjung,-292024704#0,189304970#3,1,0,29,977.25,,0,False,straight_line,57,25,0.0,977.25,29,80
8,Safdarjung,423755579#6,-1080512081#1,1,0,8,700.58,,0,False,straight_line,22,13,0.0,700.58,8,33
9,Safdarjung,423755579#0-AddedOffRampEdge,292025078#2,1,0,30,1397.7000000000003,,0,False,straight_line,50,26,0.0,1397.7000000000003,30,71
10,Safdarjung,-44680205#10,-291877903#1,1,0,42,1124.9699999999998,,0,False,straight_line,45,36,0.0,1124.9699999999998,42,79
11,Safdarjung,686651418#0,-46108373#3,1,0,18,583.85,,0,False,straight_line,24,15,0.0,583.85,18,37
12,Safdarjung,-1246778611,-1307402759,1,0,41,1722.91,,0,False,straight_line,137,43,0.0,1722.91,41,178
13,Safdarjung,46108373#9,28616709#4,1,0,30,894.4800000000002,,0,False,straight_line,66,36,0.0,894.4800000000002,30,100
14,Safdarjung,423755579#1,292027010#4,1,0,17,1039.25,,0,False,straight_line,41,31,0.0,1039.25,17,70
15,Safdarjung,1246774345,773571761#1,1,0,44,1303.7499999999998,,0,False,straight_line,127,41,0.0,1303.7499999999998,44,167
16,Safdarjung,44680205#7,291877904#2,1,0,42,1054.87,,0,False,straight_line,45,37,0.0,1054.87,42,80
17,Safdarjung,46108379#9,164802174#6,1,0,11,586.83,,0,False,straight_line,28,17,0.0,586.83,11,43
18,Safdarjung,292025080,-1185231632,1,0,13,832.23,,0,False,straight_line,75,32,0.0,832.23,13,105
19,Safdarjung,-292024872#5,-292027394#1,1,0,33,1405.0600000000002,,0,False,straight_line,79,37,0.0,1405.0600000000002,33,115
