Episode,Reward,Steps,Epsilon,RouteLength(m),Delay(s)
1,-25,25,1.0,0,0.0
2,-115,16,0.9511,0,0.0
3,-104,5,0.9276,0,0.0
4,-105,6,0.9001,0,0.0
5,-3,3,0.8867,0,0.0
6,-108,9,0.8475,0,0.0
7,-121,22,0.759,0,0.0
8,-8,8,0.7292,0,0.0
9,-100,1,0.7256,0,0.0
10,-111,12,0.6832,0,0.0
11,-31,31,0.5849,0,0.0
12,-1,1,0.582,0,0.0
13,-105,6,0.5647,0,0.0
14,-13,13,0.5291,0,0.0
15,-100,1,0.5264,0,0.0
16,-118,19,0.4786,0,0.0
17,-111,12,0.4507,0,0.0
18,-112,13,0.4223,0,0.0
19,-18,18,0.3858,0,0.0
20,-107,8,0.3707,0,0.0
21,-107,8,0.3561,0,0.0
22,-109,10,0.3387,0,0.0
23,-100,1,0.337,0,0.0
24,-105,6,0.327,0,0.0
25,-118,19,0.2973,0,0.0
26,-114,15,0.2758,0,0.0
27,-101,2,0.273,0,0.0
28,-100,1,0.2716,0,0.0
29,-120,21,0.2445,0,0.0
30,-101,2,0.2421,0,0.0
31,-5,5,0.2361,0,0.0
32,-103,4,0.2314,0,0.0
33,-110,11,0.219,0,0.0
34,-115,16,0.2021,0,0.0
35,-100,1,0.2011,0,0.0
36,-4,4,0.1971,0,0.0
37,-107,8,0.1893,0,0.0
38,-7,7,0.1828,0,0.0
39,-106,7,0.1765,0,0.0
40,-100,1,0.1756,0,0.0
41,-108,9,0.1679,0,0.0
42,-105,6,0.1629,0,0.0
43,-2,2,0.1613,0,0.0
44,-101,2,0.1597,0,0.0
45,-104,5,0.1557,0,0.0
46,-10,10,0.1481,0,0.0
47,-107,8,0.1423,0,0.0
48,-3,3,0.1402,0,0.0
49,-18,18,0.1281,0,0.0
50,-108,9,0.1224,0,0.0
51,-104,5,0.1194,0,0.0
52,-108,9,0.1141,0,0.0
53,-100,1,0.1136,0,0.0
54,-6,6,0.1102,0,0.0
55,-25,25,0.0972,0,0.0
56,-109,10,0.0925,0,0.0
57,-106,7,0.0893,0,0.0
58,-105,6,0.0866,0,0.0
59,-117,18,0.0792,0,0.0
60,-104,5,0.0772,0,0.0
61,-113,14,0.072,0,0.0
62,-15,15,0.0668,0,0.0
63,-147,48,0.0525,0,0.0
64,-21,21,0.0472,0,0.0
65,-102,3,0.0465,0,0.0
66,-100,1,0.0463,0,0.0
67,-104,5,0.0452,0,0.0
68,-109,10,0.0429,0,0.0
69,-112,13,0.0402,0,0.0
70,-106,7,0.0388,0,0.0
71,-11,11,0.0368,0,0.0
72,-105,6,0.0357,0,0.0
73,-8,8,0.0343,0,0.0
74,-100,1,0.0341,0,0.0
75,-107,8,0.0328,0,0.0
76,-6,6,0.0318,0,0.0
77,-103,4,0.0312,0,0.0
78,-119,20,0.0282,0,0.0
79,-5,5,0.0275,0,0.0
80,-2,2,0.0272,0,0.0
81,-125,26,0.0239,0,0.0
82,-100,1,0.0238,0,0.0
83,-104,5,0.0232,0,0.0
84,-102,3,0.0228,0,0.0
85,-114,15,0.0212,0,0.0
86,-105,6,0.0206,0,0.0
87,-145,46,0.0163,0,0.0
88,-104,5,0.0159,0,0.0
89,-112,13,0.0149,0,0.0
90,-118,19,0.0136,0,0.0
91,-119,20,0.0123,0,0.0
92,-11,11,0.0116,0,0.0
93,-120,21,0.0104,0,0.0
94,-113,14,0.01,0,0.0
95,-135,36,0.01,0,0.0
96,-8,8,0.01,0,0.0
97,-107,8,0.01,0,0.0
98,-109,10,0.01,0,0.0
99,-12,12,0.01,0,0.0
100,-25,25,0.01,0,0.0
101,-100,1,0.01,0,0.0
102,-100,1,0.01,0,0.0
103,-112,13,0.01,0,0.0
104,-103,4,0.01,0,0.0
105,-104,5,0.01,0,0.0
106,-100,1,0.01,0,0.0
107,-5,5,0.01,0,0.0
108,-108,9,0.01,0,0.0
109,-106,7,0.01,0,0.0
110,-118,19,0.01,0,0.0
111,-9,9,0.01,0,0.0
112,-13,13,0.01,0,0.0
113,-109,10,0.01,0,0.0
114,-103,4,0.01,0,0.0
115,-100,1,0.01,0,0.0
116,-100,1,0.01,0,0.0
117,-110,11,0.01,0,0.0
118,-111,12,0.01,0,0.0
119,-115,16,0.01,0,0.0
120,-1,1,0.01,0,0.0
121,-108,9,0.01,0,0.0
122,-115,16,0.01,0,0.0
123,-106,7,0.01,0,0.0
124,-101,2,0.01,0,0.0
125,-19,19,0.01,0,0.0
126,-3,3,0.01,0,0.0
127,-9,9,0.01,0,0.0
128,-101,2,0.01,0,0.0
129,-111,12,0.01,0,0.0
130,-107,8,0.01,0,0.0
131,-7,7,0.01,0,0.0
132,-111,12,0.01,0,0.0
133,-113,14,0.01,0,0.0
134,-111,12,0.01,0,0.0
135,-100,1,0.01,0,0.0
136,-1,1,0.01,0,0.0
137,-4,4,0.01,0,0.0
138,-112,13,0.01,0,0.0
139,-100,1,0.01,0,0.0
140,-101,2,0.01,0,0.0
141,-107,8,0.01,0,0.0
142,-5,5,0.01,0,0.0
143,-117,18,0.01,0,0.0
144,-116,17,0.01,0,0.0
145,-103,4,0.01,0,0.0
146,-113,14,0.01,0,0.0
147,-12,12,0.01,0,0.0
148,-100,1,0.01,0,0.0
149,-105,6,0.01,0,0.0
150,-7,7,0.01,0,0.0
151,-120,21,0.01,0,0.0
152,-1,1,0.01,0,0.0
153,-106,7,0.01,0,0.0
154,-104,5,0.01,0,0.0
155,-19,19,0.01,0,0.0
156,-100,1,0.01,0,0.0
157,-105,6,0.01,0,0.0
158,-3,3,0.01,0,0.0
159,-4,4,0.01,0,0.0
160,-108,9,0.01,0,0.0
161,-112,13,0.01,0,0.0
162,-100,1,0.01,0,0.0
163,-12,12,0.01,0,0.0
164,-107,8,0.01,0,0.0
165,-11,11,0.01,0,0.0
166,-109,10,0.01,0,0.0
167,-132,33,0.01,0,0.0
168,-8,8,0.01,0,0.0
169,-107,8,0.01,0,0.0
170,-108,9,0.01,0,0.0
171,-7,7,0.01,0,0.0
172,-107,8,0.01,0,0.0
173,-109,10,0.01,0,0.0
174,-22,22,0.01,0,0.0
175,-100,1,0.01,0,0.0
176,-108,9,0.01,0,0.0
177,-100,1,0.01,0,0.0
178,-104,5,0.01,0,0.0
179,-3,3,0.01,0,0.0
180,-100,1,0.01,0,0.0
181,-106,7,0.01,0,0.0
182,-102,3,0.01,0,0.0
183,-104,5,0.01,0,0.0
184,-100,1,0.01,0,0.0
185,-106,7,0.01,0,0.0
186,-26,26,0.01,0,0.0
187,-100,1,0.01,0,0.0
188,-3,3,0.01,0,0.0
189,-108,9,0.01,0,0.0
190,-111,12,0.01,0,0.0
191,-106,7,0.01,0,0.0
192,-6,6,0.01,0,0.0
193,-105,6,0.01,0,0.0
194,-3,3,0.01,0,0.0
195,-100,1,0.01,0,0.0
196,-108,9,0.01,0,0.0
197,-100,1,0.01,0,0.0
198,-103,4,0.01,0,0.0
199,-118,19,0.01,0,0.0
200,-100,1,0.01,0,0.0
201,-111,12,0.01,0,0.0
202,-103,4,0.01,0,0.0
203,-8,8,0.01,0,0.0
204,-119,20,0.01,0,0.0
205,-6,6,0.01,0,0.0
206,-107,8,0.01,0,0.0
207,-8,8,0.01,0,0.0
208,-105,6,0.01,0,0.0
209,-104,5,0.01,0,0.0
210,-107,8,0.01,0,0.0
211,-9,9,0.01,0,0.0
212,-116,17,0.01,0,0.0
213,-113,14,0.01,0,0.0
214,-7,7,0.01,0,0.0
215,-104,5,0.01,0,0.0
216,-114,15,0.01,0,0.0
217,-118,19,0.01,0,0.0
218,-110,11,0.01,0,0.0
219,-1,1,0.01,0,0.0
220,-105,6,0.01,0,0.0
221,-105,6,0.01,0,0.0
222,-9,9,0.01,0,0.0
223,-1,1,0.01,0,0.0
224,-118,19,0.01,0,0.0
225,-112,13,0.01,0,0.0
226,-104,5,0.01,0,0.0
227,-111,12,0.01,0,0.0
228,-101,2,0.01,0,0.0
229,-107,8,0.01,0,0.0
230,-100,1,0.01,0,0.0
231,-130,31,0.01,0,0.0
232,-105,6,0.01,0,0.0
233,-1,1,0.01,0,0.0
234,-107,8,0.01,0,0.0
235,-104,5,0.01,0,0.0
236,-141,42,0.01,0,0.0
237,-111,12,0.01,0,0.0
238,-106,7,0.01,0,0.0
239,-5,5,0.01,0,0.0
240,-44,44,0.01,0,0.0
241,-111,12,0.01,0,0.0
242,-103,4,0.01,0,0.0
243,-108,9,0.01,0,0.0
244,-5,5,0.01,0,0.0
245,-5,5,0.01,0,0.0
246,-111,12,0.01,0,0.0
247,-107,8,0.01,0,0.0
248,-6,6,0.01,0,0.0
249,-5,5,0.01,0,0.0
250,-112,13,0.01,0,0.0
251,-119,20,0.01,0,0.0
252,-114,15,0.01,0,0.0
253,-103,4,0.01,0,0.0
254,-105,6,0.01,0,0.0
255,-110,11,0.01,0,0.0
