Episode,Reward,Steps,Epsilon,RouteLength(m),Delay(s)
1,-147,48,0.9183,0,0
2,-148,49,0.7183,0,0
3,-8,8,0.6901,26.32,0.0
4,-18,18,0.6306,129.0,0.0
5,-7,7,0.6088,22.03,0.0
6,-116,17,0.5591,0,0
7,-8,8,0.5371,28.25,0.0
8,-100,1,0.5344,0,0
9,-111,12,0.5032,0,0
10,-101,2,0.4982,0,0
11,-110,11,0.4715,0,0
12,-117,18,0.4308,0,0
13,-114,15,0.3996,0,0
14,-124,25,0.3525,0,0
15,-100,1,0.3508,0,0
16,-109,10,0.3336,0,0
17,-130,31,0.2856,0,0
18,-105,6,0.2771,0,0
19,-100,1,0.2758,0,0
20,-109,10,0.2623,0,0
21,-100,1,0.261,0,0
22,-10,10,0.2482,40.8,0.0
23,-110,11,0.2349,0,0
24,-11,11,0.2223,45.04,0.0
25,-105,6,0.2157,0,0
26,-109,10,0.2052,0,0
27,-105,6,0.1991,0,0
28,-118,19,0.181,0,0
29,-107,8,0.1739,0,0
30,-117,18,0.1589,0,0
31,-3,3,0.1565,3.64,0.0
32,-100,1,0.1557,0,0
33,-11,11,0.1474,49.01,0.0
34,-3,3,0.1452,3.55,0.0
35,-117,18,0.1326,0,0
36,-12,12,0.1249,62.95,0.0
37,-111,12,0.1176,0,0
38,-123,24,0.1043,0,0
39,-18,18,0.0953,0.0,18.0
40,-1,1,0.0948,0.93,0.0
41,-100,1,0.0943,0,0
42,-1,1,0.0939,0.76,0.0
43,-1,1,0.0934,0.86,0.0
44,-1,1,0.0929,0.86,0.0
45,-1,1,0.0925,0.89,0.0
46,-1,1,0.092,0.69,0.0
47,-1,1,0.0915,0.8,0.0
48,-1,1,0.0911,0.69,0.0
49,-1,1,0.0906,0.74,0.0
50,-1,1,0.0902,0.51,0.0
51,-1,1,0.0897,0.58,0.0
52,-1,1,0.0893,0.8,0.0
53,-100,1,0.0888,0,0
54,-1,1,0.0884,0.58,0.0
55,-1,1,0.0879,0.8,0.0
56,-1,1,0.0875,0.92,0.0
57,-1,1,0.0871,0.67,0.0
58,-1,1,0.0866,0.77,0.0
59,-1,1,0.0862,0.93,0.0
60,-1,1,0.0858,0.51,0.0
61,-1,1,0.0853,0.86,0.0
62,-1,1,0.0849,0.8,0.0
63,-1,1,0.0845,0.91,0.0
64,-1,1,0.0841,0.75,0.0
65,-1,1,0.0836,0.93,0.0
66,-1,1,0.0832,0.96,0.0
67,-1,1,0.0828,0.5,0.0
68,-1,1,0.0824,0.66,0.0
69,-1,1,0.082,0.78,0.0
70,-100,1,0.0816,0,0
71,-1,1,0.0812,0.85,0.0
72,-1,1,0.0808,0.82,0.0
73,-1,1,0.0804,0.76,0.0
74,-1,1,0.08,0.59,0.0
75,-1,1,0.0796,0.6,0.0
76,-1,1,0.0792,0.95,0.0
77,-1,1,0.0788,0.55,0.0
78,-1,1,0.0784,0.51,0.0
79,-1,1,0.078,0.85,0.0
80,-1,1,0.0776,0.58,0.0
81,-100,1,0.0772,0,0
82,-1,1,0.0768,0.85,0.0
83,-1,1,0.0764,0.51,0.0
84,-1,1,0.076,0.95,0.0
85,-1,1,0.0757,0.85,0.0
86,-1,1,0.0753,0.77,0.0
87,-1,1,0.0749,0.98,0.0
88,-1,1,0.0745,0.63,0.0
89,-100,1,0.0742,0,0
90,-1,1,0.0738,1.0,0.0
91,-1,1,0.0734,1.0,0.0
92,-1,1,0.0731,0.92,0.0
93,-1,1,0.0727,0.53,0.0
94,-1,1,0.0723,0.69,0.0
95,-1,1,0.072,0.93,0.0
96,-1,1,0.0716,0.76,0.0
97,-1,1,0.0712,0.55,0.0
98,-1,1,0.0709,0.95,0.0
99,-1,1,0.0705,0.68,0.0
100,-1,1,0.0702,0.66,0.0
