episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,heuristic_used,total_nodes_expanded,max_frontier_size,final_heuristic_cost,final_total_cost,search_depth,num_edges_visited
0,ChandniChowk,295636695#0,-1070575144#4,1,136.0,28,1482.8400000000001,-1070575144#4,136,True,Euclidean,712,50,1480.7400000000002,1480.7400000000002,39,28
1,ChandniChowk,-44923693#3,-44141276#0,1,104.0,23,1061.23,-44141276#0,104,True,Euclidean,477,40,1007.9599999999999,1007.9599999999999,30,23
2,ChandniChowk,44141545#10,423608337#0,1,436.0,30,984.6399999999999,423608337#0,436,True,Euclidean,685,62,958.2299999999999,958.2299999999999,46,30
3,ChandniChowk,776026191#2,-169826201,1,396.0,19,738.7099999999999,-169826201,396,True,Euclidean,294,48,636.9999999999999,636.9999999999999,28,19
4,ChandniChowk,-82946096#3,-1076018284,1,566.0,41,829.5200000000001,-1076018284,566,True,Euclidean,670,62,799.8800000000001,799.8800000000001,41,41
5,ChandniChowk,-44141125#5,1181124061#4,1,100.0,14,816.2300000000001,1181124061#4,100,True,Euclidean,548,51,785.4000000000001,785.4000000000001,34,14
6,ChandniChowk,-1070575144#4,-320348721#3,1,539.0,38,1309.8899999999999,-320348721#3,539,True,Euclidean,756,45,1305.35,1305.35,47,38
7,ChandniChowk,320348701,169826195#0,1,465.0,17,995.92,169826195#0,465,True,Euclidean,285,37,843.29,843.29,28,17
8,ChandniChowk,-44141146#1,264592551#1,1,460.0,17,734.0100000000001,264592551#1,460,True,Euclidean,529,52,731.0500000000001,731.0500000000001,36,17
9,ChandniChowk,48535261#1,-1067871270#1,1,485.0,13,552.53,-1067871270#1,485,True,Euclidean,154,25,412.39,412.39,25,13
10,ChandniChowk,48533153#2,44141299#8,1,621.0,37,959.11,44141299#8,621,True,Euclidean,457,47,873.28,873.28,41,37
11,ChandniChowk,-693912721#2,-293420636#0,1,483.0,14,594.31,-293420636#0,483,True,Euclidean,234,32,554.87,554.87,27,14
12,ChandniChowk,82710760#0,-693912719#6,1,506.0,16,644.79,-693912719#6,506,True,Euclidean,326,42,623.4699999999999,623.4699999999999,27,16
13,ChandniChowk,-169826196,-169826213#1,1,178.0,10,533.0500000000001,-169826213#1,178,True,Euclidean,69,19,502.95000000000005,502.95000000000005,13,10
14,ChandniChowk,693912719#4,264615171#1,1,644.0,31,1760.8400000000004,264615171#1,644,True,Euclidean,850,47,1669.3900000000003,1669.3900000000003,48,31
15,ChandniChowk,48533153#4,44141522#3,1,752.0,52,1913.5000000000005,44141522#3,752,True,Euclidean,821,47,1532.8100000000004,1532.8100000000004,61,52
16,ChandniChowk,1364873700#1,82946096#3,1,481.0,5,148.07,82946096#3,481,True,Euclidean,15,9,103.92999999999999,103.92999999999999,8,5
