episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,heuristic_used,total_nodes_expanded,max_frontier_size,final_heuristic_cost,final_total_cost,search_depth,num_edges_visited
0,RakabGanj,24584383#2,-1072963716#0,1,26.0,10,245.66000000000003,-1072963716#0,26,True,Euclidean,39,15,208.10000000000002,208.10000000000002,11,10
1,RakabGanj,-371342951#2,-24584503#1,1,11.0,39,1868.54,,11,False,Euclidean,807,48,1789.84,1789.84,48,39
2,RakabGanj,24584504#2,24584414#0,1,21.0,16,635.8100000000001,,21,False,Euclidean,69,20,528.1400000000001,528.1400000000001,18,16
3,RakabGanj,700305760#0,-1271156421#2,1,459.0,25,1730.5100000000002,-1271156421#2,459,True,Euclidean,583,71,1618.2200000000003,1618.2200000000003,37,25
4,RakabGanj,1073010466,-1072978656#0,1,490.0,28,1466.4199999999998,-1072978656#0,490,True,Euclidean,282,47,1405.55,1405.55,41,28
5,RakabGanj,-24584418#3,138947059#1,1,100.0,10,518.33,138947059#1,100,True,Euclidean,80,16,466.23,466.23,16,10
6,RakabGanj,-1072963716#0,-24584420#0,1,418.0,14,572.0199999999999,-24584420#0,418,True,Euclidean,124,34,481.3099999999999,481.3099999999999,19,14
7,RakabGanj,24584385#0,24583487#11,1,458.0,24,810.6299999999999,24583487#11,458,True,Euclidean,414,56,720.5799999999999,720.5799999999999,27,24
8,RakabGanj,-24584420#1,24584377#2,1,190.0,23,1038.0600000000002,24584377#2,190,True,Euclidean,331,54,1014.9600000000002,1014.9600000000002,34,23
9,RakabGanj,48964551,-1060463406#1,1,480.0,20,783.3999999999997,-1060463406#1,480,True,Euclidean,398,66,763.5899999999998,763.5899999999998,31,20
10,RakabGanj,447141151#7,24584420#1,1,536.0,26,1050.1,24584420#1,536,True,Euclidean,511,62,1021.0099999999999,1021.0099999999999,38,26
11,RakabGanj,-80926770,-24584383#4,1,557.0,16,1397.23,-24584383#4,557,True,Euclidean,239,59,1278.56,1278.56,24,16
12,RakabGanj,80926764#4,-80926781#1,1,504.0,16,1334.61,-80926781#1,504,True,Euclidean,679,72,1137.55,1137.55,38,16
13,RakabGanj,-1250154743#0,-164786644#0,1,565.0,35,1669.9600000000003,-164786644#0,565,True,Euclidean,782,53,1655.2800000000002,1655.2800000000002,48,35
14,RakabGanj,611866595#0,24584378#7,1,189.0,21,611.4600000000002,24584378#7,189,True,Euclidean,242,52,546.5000000000001,546.5000000000001,25,21
15,RakabGanj,447141155#0,24584503#2,1,238.0,23,986.9500000000002,24584503#2,238,True,Euclidean,280,48,958.1800000000002,958.1800000000002,26,23
16,RakabGanj,24583332#4,80926778#10,1,582.0,21,1046.7700000000002,80926778#10,582,True,Euclidean,508,59,1017.6700000000002,1017.6700000000002,34,21
17,RakabGanj,1066625119#0,24583487#8,1,585.0,38,1137.82,24583487#8,585,True,Euclidean,737,56,1135.72,1135.72,40,38
18,RakabGanj,581245359,24584380#9,1,544.0,13,589.3399999999999,24584380#9,544,True,Euclidean,136,26,564.3699999999999,564.3699999999999,15,13
19,RakabGanj,665150699#0,24584375#10,1,565.0,22,948.9500000000002,24584375#10,565,True,Euclidean,249,44,921.3100000000002,921.3100000000002,25,22
20,RakabGanj,24584420#6,-1122026496#0,1,1000.0,31,1562.4599999999998,80926778#9,1000,False,Euclidean,770,57,1504.9199999999998,1504.9199999999998,50,31
21,RakabGanj,-24584420#8,-686834805#0,1,336.0,32,1509.21,-686834805#0,336,True,Euclidean,663,48,1432.7,1432.7,45,32
22,RakabGanj,-1122257058,-24584507#1,1,650.0,39,1420.6399999999999,-24584507#1,650,True,Euclidean,800,62,1269.58,1269.58,40,39
23,RakabGanj,-1271156413#1,-675478334#4,1,597.0,10,704.14,-675478334#4,597,True,Euclidean,225,50,644.91,644.91,26,10
24,RakabGanj,24584381#8,1066625120#4,1,392.0,23,1800.4500000000003,1066625120#4,392,True,Euclidean,931,52,1629.7500000000002,1629.7500000000002,50,23
25,RakabGanj,1064518284,-24584421#0,1,349.0,31,1274.4299999999998,-24584421#0,349,True,Euclidean,730,49,1221.8899999999999,1221.8899999999999,44,31
26,RakabGanj,-24584512#0,752137329#1,1,701.0,23,1615.3799999999994,752137329#1,701,True,Euclidean,458,47,1599.3099999999995,1599.3099999999995,40,23
27,RakabGanj,24584384#5,24584380#1,1,348.0,10,449.80999999999995,24584380#1,348,True,Euclidean,101,21,429.55999999999995,429.55999999999995,14,10
28,RakabGanj,-24584383#0,24584503#1,1,409.0,40,1458.3900000000003,24584503#1,409,True,Euclidean,920,86,1379.6900000000003,1379.6900000000003,42,40
29,RakabGanj,-24584381#17,1072960945#1,1,666.0,26,929.2799999999999,1072960945#1,666,True,Euclidean,592,59,874.9999999999999,874.9999999999999,39,26
30,RakabGanj,994825990#1,24584383#4,1,647.0,20,526.51,24584383#4,647,True,Euclidean,82,15,407.84,407.84,20,20
31,RakabGanj,24583488#3,24584416#1,1,801.0,29,1438.7600000000002,24584416#1,801,True,Euclidean,637,60,1398.7700000000002,1398.7700000000002,42,29
32,RakabGanj,611866592#1,44188368#1,1,437.0,30,1595.08,44188368#1,437,True,Euclidean,851,60,1364.3799999999999,1364.3799999999999,42,30
33,RakabGanj,-24584420#9,-1072978656#2,1,735.0,18,938.26,-1072978656#2,735,True,Euclidean,364,48,934.6,934.6,31,18
34,RakabGanj,-686834805#5,-612734122,1,1000.0,37,1900.1599999999999,-24583488#2,1000,False,Euclidean,884,49,1870.6999999999998,1870.6999999999998,54,37
35,RakabGanj,-24584416#3,763520419#0,1,772.0,28,1137.08,763520419#0,772,True,Euclidean,474,51,1128.54,1128.54,34,28
36,RakabGanj,686685084#0,-80926768#2,1,735.0,6,586.6,-80926768#2,735,True,Euclidean,96,20,518.85,518.85,17,6
37,RakabGanj,24584388#1,1072978660#1,1,805.0,44,1714.9100000000003,1072978660#1,805,True,Euclidean,896,56,1661.7800000000002,1661.7800000000002,55,44
38,RakabGanj,717907817#0,1183653757#1,1,537.0,53,1998.68,1183653757#1,537,True,Euclidean,935,45,1927.68,1927.68,54,53
39,RakabGanj,-24584511#8,-24584512#0,1,724.0,8,435.85,-24584512#0,724,True,Euclidean,22,7,283.43,283.43,9,8
40,RakabGanj,24583489#1,-44277694#4,1,1000.0,23,1444.8100000000002,-80926778#6,1000,False,Euclidean,590,62,1197.3000000000002,1197.3000000000002,40,23
41,RakabGanj,24584375#6,714990513#2,1,469.0,25,799.1799999999998,714990513#2,469,True,Euclidean,459,60,764.5499999999998,764.5499999999998,28,25
42,RakabGanj,1072960944#1,-24584424#5,1,827.0,16,1073.79,-24584424#5,827,True,Euclidean,148,20,1058.95,1058.95,25,16
43,RakabGanj,997761553,164786644#3,1,494.0,19,941.4699999999998,164786644#3,494,True,Euclidean,232,40,865.5799999999998,865.5799999999998,28,19
44,RakabGanj,-1183653758,-1122028504#0,1,812.0,15,588.14,-1122028504#0,812,True,Euclidean,83,20,577.9399999999999,577.9399999999999,16,15
45,RakabGanj,-1271156421#4,24584381#17,1,496.0,9,636.8199999999999,24584381#17,496,True,Euclidean,135,24,512.8199999999999,512.8199999999999,14,9
46,RakabGanj,447141138#0,1122215528#0,1,860.0,42,1366.9000000000003,1122215528#0,860,True,Euclidean,733,55,1357.4400000000003,1357.4400000000003,46,42
47,RakabGanj,-1122215537,1072960946#2,1,899.0,37,1470.0900000000004,1072960946#2,899,True,Euclidean,765,61,1451.1400000000003,1451.1400000000003,45,37
48,RakabGanj,997761552#1,24583327#8,1,516.0,15,839.97,24583327#8,516,True,Euclidean,172,28,644.76,644.76,21,15
49,RakabGanj,80926778#1,612734126#2,1,945.0,34,1844.3100000000004,612734126#2,945,True,Euclidean,834,50,1772.6700000000003,1772.6700000000003,53,34
50,RakabGanj,-1072960938,24584424#4,1,571.0,13,672.7099999999998,24584424#4,571,True,Euclidean,132,24,597.2999999999998,597.2999999999998,18,13
51,RakabGanj,24584415#0,24583332#4,1,946.0,33,1474.8799999999999,24583332#4,946,True,Euclidean,660,52,1434.57,1434.57,40,33
52,RakabGanj,-24584512#0,24584384#0,1,981.0,27,1627.99,24584384#0,981,True,Euclidean,425,47,1526.56,1526.56,40,27
53,RakabGanj,-1271156421#5,1122220358#0,1,1000.0,42,1865.5700000000004,-1122220362#0,1000,False,Euclidean,912,50,1806.3100000000004,1806.3100000000004,53,42
54,RakabGanj,1122230047#1,80678182#2,1,997.0,36,1645.68,80678182#2,997,True,Euclidean,742,48,1602.44,1602.44,45,36
55,RakabGanj,686685084#0,-581245361,1,985.0,36,1388.57,-581245361,985,True,Euclidean,795,71,1388.37,1388.37,42,36
