episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,nodes_expanded,search_depth
0,Safdarjung,292023764#4,-1122281742,1,0,30,973.24,,0,False,449,30
1,Safdarjung,-292025840#1,-292024880#1,1,0,22,1284.86,,0,False,508,22
2,Safdarjung,292027015#1,292024872#5,1,0,14,707.2700000000001,,0,False,382,14
3,Safdarjung,605695087#12,-1246781006#0,1,0,30,1454.0400000000004,,0,False,497,30
4,Safdarjung,-776771535#1,-1184126822#1,1,0,5,241.10999999999999,,0,False,91,5
5,Safdarjung,-1120528080,-292024662#4,1,0,18,574.04,,0,False,76,18
6,Safdarjung,292023824,1306331919,1,0,11,467.14,,0,False,140,11
7,Safdarjung,-292024704#0,189304970#3,1,0,29,977.25,,0,False,493,29
8,Safdarjung,423755579#6,-1080512081#1,1,0,12,697.1900000000002,,0,False,169,12
9,Safdarjung,423755579#0-AddedOffRampEdge,292025078#2,1,0,26,1382.8400000000001,,0,False,459,26
10,Safdarjung,-44680205#10,-291877903#1,1,0,44,1100.3999999999999,,0,False,303,44
11,Safdarjung,686651418#0,-46108373#3,1,0,18,583.85,,0,False,163,18
12,Safdarjung,-1246778611,-1307402759,1,0,41,1722.91,,0,False,525,41
13,Safdarjung,46108373#9,28616709#4,1,0,31,887.1600000000003,,0,False,475,31
14,Safdarjung,423755579#1,292027010#4,1,0,31,955.51,,0,False,324,31
15,Safdarjung,1246774345,773571761#1,1,0,40,1266.0300000000002,,0,False,533,40
16,Safdarjung,44680205#7,291877904#2,1,0,44,1030.3,,0,False,323,44
17,Safdarjung,46108379#9,164802174#6,1,0,23,502.78000000000003,,0,False,191,23
18,Safdarjung,292025080,-1185231632,1,0,31,712.23,,0,False,196,31
19,Safdarjung,-292024872#5,-292027394#1,1,0,31,1240.3000000000002,,0,False,423,31
20,Safdarjung,-1239030821#0,-292025078#2,1,0,23,1421.65,,0,False,449,23
21,Safdarjung,-1306324405,-292027344,1,0,14,453.65,,0,False,202,14
22,Safdarjung,292023622,-682844000#0,1,0,25,757.4499999999999,,0,False,373,25
23,Safdarjung,-46108379#10,-292024872#0,1,0,37,1577.22,,0,False,527,37
24,Safdarjung,-292025667#1,684948940#0,1,0,60,1454.8300000000002,,0,False,533,60
25,Safdarjung,292023821#0,291868047#1,1,0,2,20.0,,0,False,5,2
26,Safdarjung,-291877904#3,292027010#3,1,0,14,509.13,,0,False,238,14
27,Safdarjung,-291877163#0,-686638462#5,1,0,30,956.0000000000001,,0,False,486,30
28,Safdarjung,924403692,292023820,1,0,27,708.5200000000001,,0,False,324,27
29,Safdarjung,1307402760,292024876#3,1,0,38,1385.36,,0,False,514,38
30,Safdarjung,46108373#3,31756505#5,1,0,42,2294.4699999999993,,0,False,591,42
31,Safdarjung,-292024872#6,-1184582476#0,1,0,12,728.73,,0,False,197,12
32,Safdarjung,-317580221#0,-292027017,1,0,16,509.07,,0,False,213,16
33,Safdarjung,-292024662#1,686633494#0,1,0,5,130.1,,0,False,22,5
34,Safdarjung,579272354#0,-44680203#5,1,0,54,1730.9099999999996,,0,False,469,54
35,Safdarjung,292024329#1,-773571759,1,0,23,762.8799999999999,,0,False,390,23
36,Safdarjung,605698329#2,1184127904,1,0,10,601.1899999999998,,0,False,162,10
38,Safdarjung,1365044689,-292027013#0,1,0,35,1045.56,,0,False,348,35
39,Safdarjung,164802174#5,605695087#9,1,0,8,233.71,,0,False,45,8
40,Safdarjung,-686638462#6,-292024876#1,1,0,29,1667.49,,0,False,520,29
41,Safdarjung,997648749#3,1237199969,1,0,15,789.9499999999998,,0,False,231,15
42,Safdarjung,-1246774351,-1185231635,1,0,5,93.14999999999999,,0,False,13,5
43,Safdarjung,-1306335976,292023488#0,1,0,10,478.64,,0,False,101,10
44,Safdarjung,36326993#1,1080439109,1,0,22,646.1400000000001,,0,False,337,22
45,Safdarjung,-1185258350,-686646774#1,1,0,18,296.72999999999996,,0,False,97,18
46,Safdarjung,997643075,1246774350,1,0,21,412.09999999999997,,0,False,123,21
47,Safdarjung,773057400#0,46108379#8,1,0,10,211.36,,0,False,30,10
48,Safdarjung,-111218026#0,292025685#1,1,0,5,460.35,,0,False,81,5
49,Safdarjung,292024872#5,1246781007,1,0,8,327.18,,0,False,93,8
50,Safdarjung,-292025667#1,292023821#0,1,0,31,841.3200000000002,,0,False,383,31
51,Safdarjung,-1307402760,111218029#4,1,0,21,756.92,,0,False,373,21
52,Safdarjung,111218029#13,686646774#0,1,0,32,947.1900000000003,,0,False,345,32
53,Safdarjung,579272354#0,-292027013#1,1,0,34,1276.5700000000002,,0,False,369,34
54,Safdarjung,1185258350,-292023820,1,0,20,690.2199999999999,,0,False,341,20
55,Safdarjung,605698328#5,567831194#0,1,0,36,1375.0500000000002,,0,False,547,36
56,Safdarjung,-292027344,292023781#5,1,0,17,488.11999999999995,,0,False,255,17
57,Safdarjung,235103533#3,-291877474#2,1,0,29,714.3399999999999,,0,False,181,29
58,Safdarjung,29534879#1,1306323162,1,0,30,1438.2000000000003,,0,False,408,30
59,Safdarjung,-1076248781#1,-44680205#9,1,0,61,1641.05,,0,False,522,61
60,Safdarjung,-111218035#0,682964522#3,1,0,2,159.3,,0,False,20,2
61,Safdarjung,-292027393#2,-1190347818,1,0,44,1527.09,,0,False,553,44
62,Safdarjung,579272357#1,686638461#0,1,0,12,608.2,,0,False,61,12
63,Safdarjung,-1239066197,1185258350,1,0,28,840.97,,0,False,314,28
64,Safdarjung,-1211234342#0,292027394#2,1,0,41,1508.5600000000006,,0,False,452,41
65,Safdarjung,1184582302,1307402759,1,0,27,982.4699999999999,,0,False,477,27
66,Safdarjung,-292025665,567831194#3,1,0,12,640.87,,0,False,278,12
67,Safdarjung,-776773435,-292024872#3,1,0,23,938.1000000000001,,0,False,453,23
68,Safdarjung,1246774349,292027010#4,1,0,10,264.86,,0,False,72,10
69,Safdarjung,-292024648#0,-44680203#12,1,0,18,1195.09,,0,False,455,18
70,Safdarjung,994832896,292024648#0,1,0,24,836.01,,0,False,390,24
71,Safdarjung,1076248781#1,1239051719,1,0,13,632.23,,0,False,250,13
72,Safdarjung,-164802157#5,-292024882#0,1,0,31,1343.5199999999998,,0,False,527,31
73,Safdarjung,-44680203#9,189304970#2,1,0,12,179.16,,0,False,40,12
74,Safdarjung,-292024873#1,-292024876#2,1,0,3,48.010000000000005,,0,False,4,3
75,Safdarjung,-1211234343,292023764#3,1,0,35,853.8400000000003,,0,False,168,35
76,Safdarjung,-292024872#6,605696842#1,1,0,36,1351.0100000000002,,0,False,492,36
77,Safdarjung,46108379#5,-1237997084,1,0,35,1191.33,,0,False,465,35
78,Safdarjung,-292024877#1,292024704#0,1,0,24,1094.9599999999998,,0,False,291,24
79,Safdarjung,-292024663#0,-189304970#3,1,0,33,1125.97,,0,False,507,33
80,Safdarjung,1184126821,36326989#0,1,0,3,128.65,,0,False,16,3
81,Safdarjung,423755579#3,-292024648#4,1,0,29,1156.9,,0,False,298,29
82,Safdarjung,-1246781006#0,111218029#1,1,0,14,1056.93,,0,False,348,14
83,Safdarjung,-924403692,1184615056,1,0,25,671.56,,0,False,296,25
84,Safdarjung,292027010#0,292024872#1,1,0,17,764.13,,0,False,401,17
85,Safdarjung,-686651418#0,-46108373#7,1,0,24,749.52,,0,False,239,24
86,Safdarjung,46108379#9,-292025667#0,1,0,14,496.97,,0,False,189,14
87,Safdarjung,-292023781#5,1136644106#0,1,0,30,925.6099999999998,,0,False,404,30
88,Safdarjung,-776771535#1,-292027344,1,0,11,395.86,,0,False,170,11
89,Safdarjung,-292025078#1,682844000#1,1,0,39,1470.7999999999997,,0,False,556,39
90,Safdarjung,1080439108,46108379#8,1,0,28,893.5600000000003,,0,False,434,28
91,Safdarjung,1306326479#1,-1185237194#2,1,0,6,139.32,,0,False,39,6
92,Safdarjung,997648749#5,44716380#4,1,0,30,616.6899999999999,,0,False,209,30
93,Safdarjung,46108375#1,-292023488#1,1,0,14,380.43000000000006,,0,False,127,14
94,Safdarjung,1185227773,-292024872#6,1,0,24,946.2700000000001,,0,False,422,24
95,Safdarjung,-686646774#1,-1190516864,1,0,21,571.77,,0,False,274,21
96,Safdarjung,-605696841#1,80515444#5,1,0,70,2422.44,,0,False,587,70
97,Safdarjung,-292025665,35152830#1-AddedOffRampEdge,1,0,13,1406.38,,0,False,519,13
98,Safdarjung,111218029#2,1080512081#1,1,0,31,1031.7,,0,False,332,31
99,Safdarjung,686651418#0,994832901,1,0,16,524.96,,0,False,142,16
