episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,nodes_expanded,search_depth,max_frontier_size,error
0,CP2,24584377#4,-1076782195#0,1,349.0,84,5037.84,-1076782194#1,350,False,84,84,4,
1,CP2,-577982260#5,-38235041#6,1,225.0,51,2765.9500000000003,-38235041#7,226,False,51,51,4,
2,CP2,44263457#1,293153163#0,1,999.0,101,3829.7199999999984,-1203012173,1000,False,120,82,4,
3,CP2,714986188#2,-1354558617,1,155.0,35,1894.0000000000002,:6720393131_0,156,False,35,35,3,
4,CP2,1122215529#0,-1121139432#1,1,172.0,50,2489.2699999999995,-1121139432#2,173,False,50,50,3,
5,CP2,-319329101#6,142865883#1,1,999.0,151,9509.589999999991,-267447262#3,1000,False,203,99,4,
6,CP2,-1076782195#1,-293153159#0,1,999.0,68,4015.2400000000002,-293153145#1,1000,False,71,65,4,
7,CP2,24584385#2,24577096#0,1,618.0,95,4292.5199999999995,:3742418043_0,619,False,106,84,3,
8,CP2,-343654534#2,24583332#9,1,999.0,92,3440.6399999999985,1122038573#1,1000,False,100,84,3,
9,CP2,579781481#10,-1072914441,1,128.0,47,1672.4900000000002,-1072914440#1,129,False,47,47,3,
10,CP2,578543603#0,370672194#4,1,190.0,49,2215.9900000000002,370672194#3,191,False,49,49,4,
11,CP2,-80418095#5,-24583590#3,1,999.0,94,4244.149999999999,717454375#1,1000,False,114,74,4,
12,CP2,80926788#1,-83675250#2,1,999.0,58,2237.2500000000005,-293153158#0,1000,False,66,50,4,
13,CP2,-1292286060#0,-154090267#2,1,166.0,42,2142.5300000000007,-154090267#3,167,False,42,42,3,
14,CP2,656933877#5,24583489#13,1,999.0,112,4489.88,1122230044,1000,False,116,108,3,
15,CP2,578543603#4,423618440#0,1,296.0,60,2797.5399999999995,31056646#2,297,False,60,60,3,
16,CP2,23133600#1,996679779#0,1,391.0,33,1233.1800000000003,563974730#5,392,False,34,32,3,
17,CP2,1072914437#0,24577118#2,1,999.0,101,4951.620000000001,1120299304,1000,False,104,98,4,
18,CP2,611866602#4,24583592#4,1,999.0,116,3928.7499999999995,370765179#3,1000,False,124,108,4,
19,CP2,686771927#1,24583327#0,1,999.0,98,4913.53,24583770,1000,False,108,88,4,
20,CP2,370672197#6,-1122220358#0,1,999.0,204,9212.229999999998,24583770,1000,False,223,185,3,
21,CP2,-370672197#4,-700293875#0,1,999.0,142,6303.219999999996,998790351#1,1000,False,160,124,4,
22,CP2,-1216791011#2,-391534135#5,1,999.0,51,2258.5100000000007,-1253476245,1000,False,58,44,4,
23,CP2,-1386084973,-686696454#2,1,165.0,37,1421.9699999999998,-24584392#2,166,False,37,37,3,
24,CP2,24584375#10,1067100260#1,1,999.0,146,8484.96,700305759#2,1000,False,223,69,4,
25,CP2,1000448884#3,-360250362#0,1,198.0,45,2424.1599999999994,360250362#0,199,False,45,45,4,
26,CP2,-561672577#0,80418094#0,1,999.0,259,10629.780000000004,662886372#0,1000,False,297,221,4,
27,CP2,24584384#0,24583495#11,1,357.0,85,4133.249999999999,24583495#9,358,False,85,85,3,
28,CP2,-24583593#6,423618433#2,0,0.0,0,0.0,,0,False,0,0,0,Goal not reached
29,CP2,-24583584#6,1074774613,1,567.0,75,2674.41,103176793#0,568,False,76,74,3,
30,CP2,998790355#0,24584378#4,1,999.0,89,3943.000000000001,24583770,1000,False,106,72,4,
31,CP2,656933868,563679821#2,1,161.0,49,1980.4900000000002,563679821#1,162,False,49,49,4,
32,CP2,-370765175#1,-1121142415,0,0.0,0,0.0,,0,False,0,0,0,Goal not reached
33,CP2,-717454375#1,-612734122,1,548.0,57,2786.83,612734122,549,False,58,56,4,
34,CP2,-293153159#3,80418131#2,1,999.0,133,7132.679999999997,1183848312,1000,False,192,74,4,
35,CP2,700293877#1,-750482273#1,1,999.0,217,7974.0099999999975,291266017#7,1000,False,251,183,4,
36,CP2,253307767#2,1119548738#1,1,999.0,124,3926.62,164675827#1,1000,False,187,61,3,
