episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,nodes_expanded,search_depth,max_frontier_size,error
0,ChandniChowk,295636695#0,-1070575144#4,1,999.0,49,3048.9299999999994,-320348700,1000,False,56,42,4,
1,ChandniChowk,-44923693#3,-44141276#0,1,88.0,19,1189.69,44141276#0,89,False,19,19,4,
2,ChandniChowk,44141545#10,423608337#0,1,116.0,22,1218.2,-423608337#0,117,False,22,22,4,
3,ChandniChowk,776026191#2,-169826201,1,394.0,11,914.34,-44923698#4,395,False,12,10,5,
4,ChandniChowk,-82946096#3,-1076018284,1,564.0,45,1683.5800000000008,1076018284,565,False,45,45,4,
5,ChandniChowk,-44141125#5,1181124061#4,1,385.0,22,826.7199999999999,1181124061#3,386,False,23,21,4,
6,ChandniChowk,-1070575144#4,-320348721#3,1,188.0,27,1445.16,1182164161,189,False,27,27,4,
7,ChandniChowk,320348701,169826195#0,1,713.0,19,1022.5999999999999,1041351325,714,False,21,17,4,
8,ChandniChowk,-44141146#1,264592551#1,1,71.0,16,716.7800000000001,:12592616010_0,72,False,16,16,4,
9,ChandniChowk,48535261#1,-1067871270#1,1,68.0,9,282.45,44830358#3,69,False,9,9,4,
10,ChandniChowk,48533153#2,44141299#8,1,177.0,29,1256.96,-44141299#8,178,False,29,29,4,
11,ChandniChowk,-693912721#2,-293420636#0,1,395.0,14,761.83,293420636#0,396,False,15,13,4,
12,ChandniChowk,82710760#0,-693912719#6,1,84.0,17,710.0300000000001,693912719#6,85,False,17,17,4,
13,ChandniChowk,-169826196,-169826213#1,1,55.0,8,667.7199999999999,-169826213#2,56,False,8,8,4,
14,ChandniChowk,693912719#4,264615171#1,1,168.0,27,1714.5900000000001,80940711#8,169,False,27,27,4,
15,ChandniChowk,48533153#4,44141522#3,1,999.0,59,2143.73,-1076314749#0,1000,False,63,55,4,
16,ChandniChowk,1364873700#1,82946096#3,1,18.0,4,127.22,-82946096#3,19,False,4,4,4,
17,ChandniChowk,-755795857,169826205#6,1,119.0,16,1148.2100000000003,169826196,120,False,16,16,5,
18,ChandniChowk,658868906#0,293420636#0,1,70.0,14,786.0600000000001,82710787#1,71,False,14,14,4,
19,ChandniChowk,696306283#1,264592548#11,1,40.0,13,291.48,264592548#10,41,False,13,13,4,
20,ChandniChowk,44141357#1,-1079742369#0,1,83.0,16,868.19,-1079742369#1,84,False,16,16,3,
21,ChandniChowk,-44141299#10,-48532953#9,1,445.0,28,1152.5,48532953#9,446,False,29,27,4,
22,ChandniChowk,-1364873685#2,-44141435#2,1,999.0,231,15313.59,-320348701,1000,False,301,161,5,
23,ChandniChowk,-169826213#1,-48532953#0,1,999.0,57,2816.4700000000003,-253134120#0,1000,False,70,44,4,
24,ChandniChowk,293420649#0,-755068998#1,1,389.0,10,382.48999999999995,755068998#1,390,False,11,9,4,
25,ChandniChowk,-755069000#2,-423608337#0,1,773.0,29,1750.86,-423608337#1,774,False,32,26,4,
26,ChandniChowk,-44611072#1,80940694#14,1,81.0,20,1285.3000000000002,80940694#13,82,False,20,20,4,
27,ChandniChowk,320348696,264615172#3,1,710.0,23,1421.1,264615172#2,711,False,25,21,4,
28,ChandniChowk,-293420652,44141522#2,1,999.0,46,2161.7799999999997,1076827636,1000,False,49,43,5,
29,ChandniChowk,-293420639#3,-798631999#1,1,999.0,24,1487.58,1076827641,1000,False,28,20,4,
30,ChandniChowk,82946148#0,320348687,1,82.0,22,863.9100000000001,1181124061#5,83,False,22,22,4,
31,ChandniChowk,169826220#0,44141146#0,1,166.0,25,1425.5900000000001,-44141146#0,167,False,25,25,4,
32,ChandniChowk,693912717#3,48532953#15,1,322.0,9,94.15,:616567679_6,323,False,10,8,4,
33,ChandniChowk,-44141299#2,-1076266783#0,1,419.0,20,1325.5700000000002,1076266783#0,420,False,21,19,4,
34,ChandniChowk,-48533153#3,-44830358#6,1,106.0,22,482.56,44830358#6,107,False,22,22,4,
35,ChandniChowk,-320348726#4,80940694#6,1,377.0,14,972.88,80940694#5,378,False,15,13,4,
36,ChandniChowk,744801990,-48535261#1,1,521.0,29,1055.31,48535261#1,522,False,30,28,4,
37,ChandniChowk,320348716#0,-798855530,1,999.0,38,2030.28,319405092#3,1000,False,50,26,3,
38,ChandniChowk,798631998,1070575144#0,1,889.0,50,2055.75,:9824925356_9,890,False,52,48,4,
39,ChandniChowk,-44610937#2,-44141529#0,1,90.0,21,956.53,44141529#0,91,False,21,21,4,
40,ChandniChowk,169826224,-44610937#2,1,999.0,41,2229.99,1076803630,1000,False,44,38,5,
41,ChandniChowk,264592548#18,77617199#1,1,514.0,29,2080.6,1147871209,515,False,30,28,4,
42,ChandniChowk,-798855529#3,-44141146#4,1,24.0,5,160.11,-44141146#5,25,False,5,5,3,
43,ChandniChowk,991702391#3,1184991409#0,1,66.0,10,850.9,-1070560848#5,67,False,10,10,4,
44,ChandniChowk,-1377217246#4,-1079742369#2,1,801.0,34,2012.8699999999994,44141299#9,802,False,36,32,4,
45,ChandniChowk,-169826228#4,293420644,1,826.0,45,1656.5600000000002,-82710787#3,827,False,48,42,4,
46,ChandniChowk,48533130,-82946112,1,748.0,27,850.3200000000003,-423608341,749,False,29,25,4,
47,ChandniChowk,-1184991409#1,-798632020,1,166.0,22,1473.38,-798632021,167,False,22,22,3,
