episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,heuristic_used,total_nodes_expanded,max_frontier_size,final_heuristic_cost,final_total_cost,search_depth,num_edges_visited
0,ChandniChowk,295636695#0,-1070575144#4,1,117.0,27,1514.0600000000002,-48533140,117,True,straight_line,47,29,0.0,1514.0600000000002,27,74
1,ChandniChowk,-44923693#3,-44141276#0,1,117.0,22,969.4800000000001,-48533140,117,True,straight_line,60,28,0.0,969.4800000000001,22,86
2,ChandniChowk,44141545#10,423608337#0,1,117.0,27,960.15,-48533140,117,True,straight_line,33,17,0.0,960.15,27,48
3,ChandniChowk,776026191#2,-169826201,1,117.0,9,502.68000000000006,-48533140,117,True,straight_line,14,11,0.0,502.68000000000006,9,23
4,ChandniChowk,-82946096#3,-1076018284,1,117.0,40,915.8600000000002,-48533140,117,True,straight_line,51,39,0.0,915.8600000000002,40,89
5,ChandniChowk,-44141125#5,1181124061#4,1,117.0,13,781.6600000000001,-48533140,117,True,straight_line,36,19,0.0,781.6600000000001,13,53
6,ChandniChowk,-1070575144#4,-320348721#3,1,117.0,34,1442.0299999999995,-48533140,117,True,straight_line,135,34,0.0,1442.0299999999995,34,166
7,ChandniChowk,320348701,169826195#0,1,117.0,15,785.4499999999999,-48533140,117,True,straight_line,17,18,0.0,785.4499999999999,15,33
8,ChandniChowk,-44141146#1,264592551#1,1,117.0,16,716.7800000000001,-48533140,117,True,straight_line,19,18,0.0,716.7800000000001,16,35
9,ChandniChowk,48535261#1,-1067871270#1,1,117.0,9,285.72,-48533140,117,True,straight_line,18,10,0.0,285.72,9,26
10,ChandniChowk,48533153#2,44141299#8,1,117.0,37,970.7,-48533140,117,True,straight_line,130,41,0.0,970.7,37,159
11,ChandniChowk,-693912721#2,-293420636#0,1,117.0,17,603.74,-48533140,117,True,straight_line,28,16,0.0,603.74,17,42
12,ChandniChowk,82710760#0,-693912719#6,1,117.0,24,625.9700000000001,-48533140,117,True,straight_line,60,35,0.0,625.9700000000001,24,94
13,ChandniChowk,-169826196,-169826213#1,1,117.0,9,542.1199999999999,-48533140,117,True,straight_line,10,14,0.0,542.1199999999999,9,22
14,ChandniChowk,693912719#4,264615171#1,1,117.0,27,1714.5900000000001,-48533140,117,True,straight_line,75,34,0.0,1714.5900000000001,27,107
15,ChandniChowk,48533153#4,44141522#3,1,117.0,56,1792.9099999999992,-48533140,117,True,straight_line,258,70,0.0,1792.9099999999992,56,322
16,ChandniChowk,1364873700#1,82946096#3,1,117.0,4,127.22,-48533140,117,True,straight_line,5,6,0.0,127.22,4,9
17,ChandniChowk,-755795857,169826205#6,1,117.0,20,725.1699999999998,-48533140,117,True,straight_line,32,17,0.0,725.1699999999998,20,47
