episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,nodes_expanded,search_depth
0,ChandniChowk,295636695#0,-1070575144#4,1,108.0,25,1505.5400000000002,-48533140,108,True,492,25
1,ChandniChowk,-44923693#3,-44141276#0,1,108.0,22,969.4800000000001,-48533140,108,True,286,22
2,ChandniChowk,44141545#10,423608337#0,1,108.0,27,960.15,-48533140,108,True,459,27
3,ChandniChowk,776026191#2,-169826201,1,108.0,9,502.68000000000006,-48533140,108,True,115,9
4,ChandniChowk,-82946096#3,-1076018284,1,108.0,42,870.7400000000002,-48533140,108,True,445,42
5,ChandniChowk,-44141125#5,1181124061#4,1,108.0,22,781.64,-48533140,108,True,334,22
6,ChandniChowk,-1070575144#4,-320348721#3,1,108.0,36,1298.73,-48533140,108,True,470,36
7,ChandniChowk,320348701,169826195#0,1,108.0,15,785.4499999999999,-48533140,108,True,167,15
8,ChandniChowk,-44141146#1,264592551#1,1,108.0,16,716.7800000000001,-48533140,108,True,345,16
9,ChandniChowk,48535261#1,-1067871270#1,1,108.0,9,277.56,-48533140,108,True,103,9
10,ChandniChowk,48533153#2,44141299#8,1,108.0,39,935.9200000000001,-48533140,108,True,296,39
11,ChandniChowk,-693912721#2,-293420636#0,1,108.0,17,603.74,-48533140,108,True,195,17
12,ChandniChowk,82710760#0,-693912719#6,1,108.0,24,625.9700000000001,-48533140,108,True,251,24
13,ChandniChowk,-169826196,-169826213#1,1,108.0,9,542.1199999999999,-48533140,108,True,71,9
14,ChandniChowk,693912719#4,264615171#1,1,108.0,27,1714.5900000000001,-48533140,108,True,575,27
15,ChandniChowk,48533153#4,44141522#3,1,108.0,59,1675.7099999999998,-48533140,108,True,564,59
16,ChandniChowk,1364873700#1,82946096#3,1,108.0,4,127.22,-48533140,108,True,25,4
17,ChandniChowk,-755795857,169826205#6,1,108.0,20,725.1699999999998,-48533140,108,True,280,20
18,ChandniChowk,658868906#0,293420636#0,1,108.0,13,719.24,-48533140,108,True,56,13
19,ChandniChowk,696306283#1,264592548#11,1,108.0,13,291.48,-48533140,108,True,54,13
20,ChandniChowk,44141357#1,-1079742369#0,1,108.0,20,708.9699999999999,-48533140,108,True,281,20
21,ChandniChowk,-44141299#10,-48532953#9,1,108.0,26,774.2900000000001,-48533140,108,True,313,26
22,ChandniChowk,-1364873685#2,-44141435#2,1,108.0,22,747.61,-48533140,108,True,381,22
23,ChandniChowk,-169826213#1,-48532953#0,1,108.0,35,1366.38,-48533140,108,True,488,35
24,ChandniChowk,293420649#0,-755068998#1,1,108.0,9,360.21,-48533140,108,True,126,9
25,ChandniChowk,-755069000#2,-423608337#0,1,108.0,31,1247.7100000000003,-48533140,108,True,531,31
26,ChandniChowk,-44611072#1,80940694#14,1,108.0,20,1285.3000000000002,-48533140,108,True,362,20
27,ChandniChowk,320348696,264615172#3,1,108.0,21,1356.4299999999998,-48533140,108,True,314,21
28,ChandniChowk,-293420652,44141522#2,1,108.0,41,1428.89,-48533140,108,True,558,41
29,ChandniChowk,-293420639#3,-798631999#1,1,108.0,25,739.8700000000001,-48533140,108,True,296,25
30,ChandniChowk,82946148#0,320348687,1,108.0,22,863.9100000000001,-48533140,108,True,406,22
31,ChandniChowk,169826220#0,44141146#0,1,108.0,24,1105.73,-48533140,108,True,380,24
32,ChandniChowk,693912717#3,48532953#15,1,108.0,8,51.97999999999999,-48533140,108,True,20,8
33,ChandniChowk,-44141299#2,-1076266783#0,1,108.0,8,461.66999999999996,-48533140,108,True,135,8
34,ChandniChowk,-48533153#3,-44830358#6,1,108.0,24,437.44000000000005,-48533140,108,True,136,24
35,ChandniChowk,-320348726#4,80940694#6,1,108.0,13,937.38,-48533140,108,True,141,13
36,ChandniChowk,744801990,-48535261#1,1,108.0,16,573.43,-48533140,108,True,247,16
37,ChandniChowk,320348716#0,-798855530,1,108.0,30,1167.6099999999997,-48533140,108,True,363,30
38,ChandniChowk,798631998,1070575144#0,1,108.0,51,1477.88,-48533140,108,True,470,51
39,ChandniChowk,-44610937#2,-44141529#0,1,108.0,21,956.53,-48533140,108,True,259,21
40,ChandniChowk,169826224,-44610937#2,1,108.0,28,1406.2200000000003,-48533140,108,True,451,28
41,ChandniChowk,264592548#18,77617199#1,1,108.0,30,1439.56,-48533140,108,True,531,30
42,ChandniChowk,-798855529#3,-44141146#4,1,108.0,5,144.73000000000002,-48533140,108,True,31,5
43,ChandniChowk,991702391#3,1184991409#0,1,108.0,11,839.04,-48533140,108,True,76,11
44,ChandniChowk,-1377217246#4,-1079742369#2,1,108.0,23,832.6899999999999,-48533140,108,True,253,23
45,ChandniChowk,-169826228#4,293420644,1,108.0,28,934.5800000000002,-48533140,108,True,244,28
46,ChandniChowk,48533130,-82946112,1,108.0,22,662.5200000000001,-48533140,108,True,245,22
47,ChandniChowk,-1184991409#1,-798632020,1,108.0,25,1230.75,-48533140,108,True,477,25
