episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,nodes_expanded,search_depth,max_frontier_size,error
0,CP2,24584377#4,-1076782195#0,0,0,0,0.0,,0,False,0,0,0,Goal not reached
1,CP2,-577982260#5,-38235041#6,1,0,538,23171.310000000027,,0,False,933,143,4,
2,CP2,44263457#1,293153163#0,1,0,101,3805.2699999999986,,0,False,122,80,4,
3,CP2,714986188#2,-1354558617,0,0,0,0.0,,0,False,0,0,0,No path found
4,CP2,1122215529#0,-1121139432#1,1,0,136,8508.439999999999,,0,False,196,76,4,
5,CP2,-319329101#6,142865883#1,1,0,264,14146.209999999995,,0,False,398,130,4,
6,CP2,-1076782195#1,-293153159#0,1,0,65,4237.7699999999995,,0,False,71,59,4,
7,CP2,24584385#2,24577096#0,0,0,0,0.0,,0,False,0,0,0,Goal not reached
8,CP2,-343654534#2,24583332#9,0,0,0,0.0,,0,False,0,0,0,Goal not reached
9,CP2,579781481#10,-1072914441,0,0,0,0.0,,0,False,0,0,0,No path found
10,CP2,578543603#0,370672194#4,1,0,316,14343.070000000009,,0,False,543,89,4,
11,CP2,-80418095#5,-24583590#3,0,0,0,0.0,,0,False,0,0,0,Goal not reached
12,CP2,80926788#1,-83675250#2,1,0,28,1618.64,,0,False,31,25,4,
13,CP2,-1292286060#0,-154090267#2,1,0,42,2142.5300000000007,,0,False,42,42,3,
14,CP2,656933877#5,24583489#13,1,0,136,5132.170000000001,,0,False,184,88,3,
15,CP2,578543603#4,423618440#0,0,0,0,0.0,,0,False,0,0,0,Goal not reached
16,CP2,23133600#1,996679779#0,1,0,252,11751.690000000002,,0,False,439,65,4,
17,CP2,1072914437#0,24577118#2,1,0,580,27470.12,,0,False,901,259,4,
18,CP2,611866602#4,24583592#4,1,0,333,15030.590000000006,,0,False,481,185,4,
19,CP2,686771927#1,24583327#0,0,0,0,0.0,,0,False,0,0,0,Goal not reached
20,CP2,370672197#6,-1122220358#0,1,0,143,6088.700000000001,,0,False,192,94,3,
21,CP2,-370672197#4,-700293875#0,1,0,384,17736.99000000001,,0,False,574,194,4,
22,CP2,-1216791011#2,-391534135#5,1,0,90,3558.920000000001,,0,False,110,70,4,
23,CP2,-1386084973,-686696454#2,1,0,534,23666.490000000034,,0,False,876,192,4,
24,CP2,24584375#10,1067100260#1,1,0,423,20725.940000000002,,0,False,722,124,4,
25,CP2,1000448884#3,-360250362#0,1,0,537,23970.27000000002,,0,False,871,203,4,
26,CP2,-561672577#0,80418094#0,1,0,165,7858.18,,0,False,274,56,4,
27,CP2,24584384#0,24583495#11,1,0,59,2558.2499999999995,,0,False,71,47,3,
28,CP2,-24583593#6,423618433#2,1,0,408,20215.700000000015,,0,False,631,185,4,
29,CP2,-24583584#6,1074774613,1,0,129,3853.4300000000003,,0,False,134,124,3,
30,CP2,998790355#0,24584378#4,1,0,338,14581.890000000014,,0,False,482,194,4,
31,CP2,656933868,563679821#2,1,0,330,14947.710000000008,,0,False,587,73,4,
32,CP2,-370765175#1,-1121142415,1,0,351,15553.820000000005,,0,False,523,179,4,
33,CP2,-717454375#1,-612734122,1,0,48,2933.4899999999993,,0,False,52,44,4,
34,CP2,-293153159#3,80418131#2,1,0,441,18880.250000000025,,0,False,702,180,4,
35,CP2,700293877#1,-750482273#1,1,0,166,7062.4400000000005,,0,False,259,73,4,
36,CP2,253307767#2,1119548738#1,0,0,0,0.0,,0,False,0,0,0,No path found
37,CP2,74851423#8,123406184#0,1,0,189,10446.579999999998,,0,False,307,71,4,
38,CP2,-553590478#2,-44263461#6,1,0,98,6411.76,,0,False,116,80,3,
39,CP2,24577361#9,-577982260#2,1,0,23,1145.82,,0,False,25,21,4,
40,CP2,24583330#2,717454379#4,1,0,222,9837.159999999998,,0,False,390,54,4,
41,CP2,998790358#4,154356516#0,0,0,0,0.0,,0,False,0,0,0,Goal not reached
42,CP2,-1277942000#5,-1122228221,1,0,213,10019.269999999999,,0,False,274,152,4,
43,CP2,-154356520#1,24584373#0,1,0,47,3273.49,,0,False,51,43,4,
44,CP2,563974735#10,1122230049#1,1,0,39,1588.2700000000004,,0,False,41,37,4,
45,CP2,-1144624113#3,1075734524#1,1,0,191,10208.38,,0,False,297,85,4,
46,CP2,998790358#17,169081335#1,1,0,521,27431.46000000003,,0,False,886,156,4,
47,CP2,995793692#1,686792698#0,1,0,168,6057.760000000003,,0,False,224,112,4,
48,CP2,-1072922044#2,38699591#6,1,0,424,19513.220000000016,,0,False,750,98,4,
49,CP2,31056644#0,23133600#3,1,0,70,2613.9700000000003,,0,False,80,60,4,
50,CP2,-561672577#0,24584380#1,0,0,0,0.0,,0,False,0,0,0,Goal not reached
51,CP2,-164675827#2,1153925787#0,1,0,382,17837.44000000001,,0,False,498,266,4,
52,CP2,1202691839#0,80926764#6,1,0,395,16246.960000000025,,0,False,545,245,4,
53,CP2,700293876#1,-577982260#4,1,0,372,17149.630000000005,,0,False,489,255,4,
54,CP2,1386086511#0,-24584392#5,1,0,551,24249.170000000035,,0,False,916,186,4,
55,CP2,74851423#2,686925959,1,0,75,5418.91,,0,False,93,57,4,
56,CP2,-686847276#1,24584378#1,0,0,0,0.0,,0,False,0,0,0,Goal not reached
57,CP2,24583491#0,-24583587#0,1,0,28,1599.9200000000003,,0,False,33,23,3,
58,CP2,561672577#0,23133709#3,0,0,0,0.0,,0,False,0,0,0,Goal not reached
59,CP2,563679821#1,169081336#0,1,0,66,2801.7799999999993,,0,False,72,60,3,
60,CP2,-103176785#2,-80418094#0,1,0,191,8678.37,,0,False,349,33,4,
61,CP2,-1074774615#0,775258786#3,1,0,8,383.84999999999997,,0,False,8,8,3,
62,CP2,700293880#2,612734124#2,1,0,197,9020.410000000002,,0,False,330,64,4,
63,CP2,-700305758#2,-1145143266#5,1,0,247,12511.710000000006,,0,False,322,172,4,
64,CP2,700293880#0,80429849#7,1,0,159,7493.999999999998,,0,False,280,38,4,
65,CP2,-1253487122,1306148229#3,0,0,0,0.0,,0,False,0,0,0,Goal not reached
66,CP2,-1153925787#4,562340243,0,0,0,0.0,,0,False,0,0,0,Goal not reached
67,CP2,562340248#0,-24582918#3,1,0,46,1617.7400000000002,,0,False,59,33,3,
68,CP2,1277941999#1,24577106#3,1,0,297,14122.770000000006,,0,False,443,151,4,
69,CP2,-553590482#0,700293874#0,1,0,6,110.87,,0,False,6,6,4,
70,CP2,1122215531#1,-370672194#12,0,0,0,0.0,,0,False,0,0,0,Goal not reached
71,CP2,23133600#6,423618440#1,0,0,0,0.0,,0,False,0,0,0,Node not in filtered graph
72,CP2,-267447262#9,-74851423#1,1,0,206,10896.26,,0,False,283,129,4,
73,CP2,998790358#14,24584392#0,1,0,356,14121.47000000001,,0,False,489,223,4,
74,CP2,-164786644#2,-38235302#1,1,0,481,24025.400000000012,,0,False,873,89,4,
75,CP2,-80418094#1,24583332#6,0,0,0,0.0,,0,False,0,0,0,Goal not reached
76,CP2,-370765179#3,-371342951#2,1,0,259,12024.240000000002,,0,False,334,184,4,
77,CP2,-1184932071#2,24584374#1,1,0,27,1473.77,,0,False,27,27,4,
78,CP2,-370765175#1,720546573#2,1,0,359,15911.740000000003,,0,False,543,175,4,
79,CP2,686685084#0,-123401419#0,1,0,41,1942.57,,0,False,43,39,4,
80,CP2,-38235351#1,291266017#5,1,0,216,11341.769999999997,,0,False,295,137,4,
81,CP2,-311994764#1,-24582921#4,1,0,252,10986.800000000001,,0,False,346,158,4,
82,CP2,80414533#4,24582919#0,0,0,0,0.0,,0,False,0,0,0,Node not in filtered graph
83,CP2,125453679#5,563791813,0,0,0,0.0,,0,False,0,0,0,Goal not reached
84,CP2,578543603#5,-289747210#0,0,0,0,0.0,,0,False,0,0,0,Node not in filtered graph
85,CP2,-1310427872#0,1145143266#11,1,0,78,3508.960000000001,,0,False,101,55,4,
86,CP2,1122215531#2,1253487631#1,1,0,133,6006.459999999999,,0,False,183,83,4,
87,CP2,423618425#0,293153145#1,1,0,44,2378.94,,0,False,50,38,4,
88,CP2,998790352#1,-154356520#4,0,0,0,0.0,,0,False,0,0,0,Goal not reached
89,CP2,686771927#1,-488544864#3,1,0,90,4869.149999999997,,0,False,106,74,4,
90,CP2,-24584392#5,1185928009,1,0,286,14693.460000000021,,0,False,442,130,4,
91,CP2,1122215529#0,-686771927#1,1,0,62,3781.5999999999995,,0,False,72,52,4,
92,CP2,-423618433#2,758753899#3,1,0,521,24447.73000000003,,0,False,872,170,4,
93,CP2,116046167#2,686792698#2,1,0,408,18338.759999999995,,0,False,709,107,4,
94,CP2,24577096#7,-1122274850,0,0,0,0.0,,0,False,0,0,0,Node not in filtered graph
95,CP2,998790359,615556515#0,1,0,359,16781.880000000016,,0,False,668,50,4,
96,CP2,995792406#5,763520419#1,0,0,0,0.0,,0,False,0,0,0,Goal not reached
97,CP2,656933877#9,-24584373#10,0,0,0,0.0,,0,False,0,0,0,Node not in filtered graph
98,CP2,1306141818#1,-370672194#5,1,0,492,23236.630000000016,,0,False,882,102,4,
99,CP2,1076782194#2,-1145143266#7,1,0,72,4185.94,,0,False,82,62,4,
