episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,nodes_expanded,search_depth,max_frontier_size,error
0,RakabGanj,24584383#2,-1072963716#0,1,0,23,1190.2199999999998,,0,False,26,20,5,
1,RakabGanj,-371342951#2,-24584503#1,0,0,0,0.0,,0,False,0,0,0,No path found
2,RakabGanj,24584504#2,24584414#0,1,0,15,492.96000000000004,,0,False,15,15,3,
3,RakabGanj,700305760#0,-1271156421#2,1,0,41,2905.6499999999996,,0,False,53,29,5,
4,RakabGanj,1073010466,-1072978656#0,1,0,124,9617.780000000008,,0,False,182,66,4,
5,RakabGanj,-24584418#3,138947059#1,1,0,13,1008.02,,0,False,14,12,4,
6,RakabGanj,-1072963716#0,-24584420#0,1,0,10,525.2399999999999,,0,False,10,10,5,
7,RakabGanj,24584385#0,24583487#11,0,0,0,0.0,,0,False,0,0,0,No path found
8,RakabGanj,-24584420#1,24584377#2,1,0,45,2298.6099999999997,,0,False,54,36,4,
9,RakabGanj,48964551,-1060463406#1,1,0,73,4527.250000000001,,0,False,92,54,4,
10,RakabGanj,447141151#7,24584420#1,1,0,37,2274.24,,0,False,49,25,4,
11,RakabGanj,-80926770,-24584383#4,1,0,19,1132.13,,0,False,19,19,4,
12,RakabGanj,80926764#4,-80926781#1,1,0,22,1838.67,,0,False,22,22,4,
13,RakabGanj,-1250154743#0,-164786644#0,1,0,52,2941.5300000000007,,0,False,52,52,4,
14,RakabGanj,611866595#0,24584378#7,0,0,0,0.0,,0,False,0,0,0,No path found
15,RakabGanj,447141155#0,24584503#2,1,0,20,1503.9500000000003,,0,False,22,18,4,
16,RakabGanj,24583332#4,80926778#10,0,0,0,0.0,,0,False,0,0,0,No path found
17,RakabGanj,1066625119#0,24583487#8,0,0,0,0.0,,0,False,0,0,0,Node not in filtered graph
18,RakabGanj,581245359,24584380#9,1,0,105,7386.7800000000025,,0,False,200,10,4,
19,RakabGanj,665150699#0,24584375#10,0,0,0,0.0,,0,False,0,0,0,No path found
20,RakabGanj,24584420#6,-1122026496#0,1,0,77,5114.7400000000025,,0,False,93,61,5,
21,RakabGanj,-24584420#8,-686834805#0,1,0,153,9519.570000000002,,0,False,198,108,5,
22,RakabGanj,-1122257058,-24584507#1,1,0,43,4176.4800000000005,,0,False,53,33,5,
23,RakabGanj,-1271156413#1,-675478334#4,1,0,79,4410.7,,0,False,96,62,4,
24,RakabGanj,24584381#8,1066625120#4,1,0,130,8041.77,,0,False,169,91,5,
25,RakabGanj,1064518284,-24584421#0,0,0,0,0.0,,0,False,0,0,0,No path found
26,RakabGanj,-24584512#0,752137329#1,1,0,170,11178.570000000009,,0,False,249,91,5,
27,RakabGanj,24584384#5,24584380#1,1,0,8,500.28,,0,False,8,8,5,
28,RakabGanj,-24584383#0,24584503#1,1,0,27,1294.4,,0,False,27,27,5,
29,RakabGanj,-24584381#17,1072960945#1,1,0,21,1178.31,,0,False,21,21,4,
30,RakabGanj,994825990#1,24584383#4,0,0,0,0.0,,0,False,0,0,0,Node not in filtered graph
31,RakabGanj,24583488#3,24584416#1,0,0,0,0.0,,0,False,0,0,0,No path found
32,RakabGanj,611866592#1,44188368#1,1,0,23,1661.1900000000003,,0,False,23,23,5,
33,RakabGanj,-24584420#9,-1072978656#2,1,0,83,5259.960000000001,,0,False,104,62,4,
34,RakabGanj,-686834805#5,-612734122,0,0,0,0.0,,0,False,0,0,0,No path found
35,RakabGanj,-24584416#3,763520419#0,0,0,0,0.0,,0,False,0,0,0,No path found
36,RakabGanj,686685084#0,-80926768#2,1,0,10,697.82,,0,False,13,7,4,
37,RakabGanj,24584388#1,1072978660#1,0,0,0,0.0,,0,False,0,0,0,Node not in filtered graph
38,RakabGanj,717907817#0,1183653757#1,0,0,0,0.0,,0,False,0,0,0,Node not in filtered graph
39,RakabGanj,-24584511#8,-24584512#0,1,0,5,186.72999999999996,,0,False,5,5,4,
40,RakabGanj,24583489#1,-44277694#4,0,0,0,0.0,,0,False,0,0,0,No path found
41,RakabGanj,24584375#6,714990513#2,0,0,0,0.0,,0,False,0,0,0,No path found
42,RakabGanj,1072960944#1,-24584424#5,1,0,32,2329.2299999999996,,0,False,40,24,4,
43,RakabGanj,997761553,164786644#3,0,0,0,0.0,,0,False,0,0,0,Node not in filtered graph
44,RakabGanj,-1183653758,-1122028504#0,1,0,44,2752.1099999999997,,0,False,57,31,4,
45,RakabGanj,-1271156421#4,24584381#17,1,0,11,549.99,,0,False,12,10,4,
46,RakabGanj,447141138#0,1122215528#0,0,0,0,0.0,,0,False,0,0,0,No path found
47,RakabGanj,-1122215537,1072960946#2,0,0,0,0.0,,0,False,0,0,0,No path found
48,RakabGanj,997761552#1,24583327#8,0,0,0,0.0,,0,False,0,0,0,No path found
49,RakabGanj,80926778#1,612734126#2,0,0,0,0.0,,0,False,0,0,0,No path found
50,RakabGanj,-1072960938,24584424#4,1,0,8,478.69,,0,False,8,8,4,
51,RakabGanj,24584415#0,24583332#4,0,0,0,0.0,,0,False,0,0,0,No path found
52,RakabGanj,-24584512#0,24584384#0,1,0,96,5688.6900000000005,,0,False,126,66,5,
53,RakabGanj,-1271156421#5,1122220358#0,0,0,0,0.0,,0,False,0,0,0,No path found
54,RakabGanj,1122230047#1,80678182#2,0,0,0,0.0,,0,False,0,0,0,No path found
55,RakabGanj,686685084#0,-581245361,1,0,40,1870.7300000000002,,0,False,47,33,4,
56,RakabGanj,1292286060#0,-24584409#3,1,0,25,1389.8600000000001,,0,False,25,25,4,
57,RakabGanj,717907814#7,675478334#5,1,0,38,2163.9999999999995,,0,False,47,29,5,
58,RakabGanj,-675478334#5,24584383#3,1,0,9,254.98999999999998,,0,False,9,9,3,
59,RakabGanj,24584379,-24584383#2,1,0,55,3454.0400000000004,,0,False,67,43,4,
60,RakabGanj,278577243#0,24583332#7,0,0,0,0.0,,0,False,0,0,0,No path found
61,RakabGanj,44188368#2,24583327#9,0,0,0,0.0,,0,False,0,0,0,No path found
62,RakabGanj,-1060463404#1,-80926778#1,1,0,10,788.44,,0,False,12,8,4,
63,RakabGanj,-1072960944#1,749606303#1,0,0,0,0.0,,0,False,0,0,0,No path found
64,RakabGanj,686696454#0,581245363#0,1,0,7,641.92,,0,False,7,7,4,
65,RakabGanj,-686685084#2,-1122220361,0,0,0,0.0,,0,False,0,0,0,No path found
66,RakabGanj,686685084#2,778199266#3,1,0,32,1457.43,,0,False,36,28,4,
67,RakabGanj,-1183653755,1271156421#1,1,0,15,642.99,,0,False,15,15,4,
68,RakabGanj,-1122220358#1,278577243#1,0,0,0,0.0,,0,False,0,0,0,No path found
69,RakabGanj,278577243#3,-24583489#5,0,0,0,0.0,,0,False,0,0,0,No path found
70,RakabGanj,1271156412#0,24583487#6,0,0,0,0.0,,0,False,0,0,0,No path found
71,RakabGanj,-24584511#8,675478334#8,1,0,120,9475.940000000004,,0,False,177,63,4,
72,RakabGanj,111695524#0,-24584422#0,1,0,16,1338.26,,0,False,16,16,5,
73,RakabGanj,24583335#0,24584503#2,0,0,0,0.0,,0,False,0,0,0,Node not in filtered graph
74,RakabGanj,-24584412,-80926764#5,1,0,18,1144.1100000000001,,0,False,18,18,4,
75,RakabGanj,997761552#0,24584385#2,0,0,0,0.0,,0,False,0,0,0,No path found
76,RakabGanj,1122028504#1,24583321#0,1,0,15,754.8499999999999,,0,False,16,14,4,
77,RakabGanj,-164786644#3,-24584503#2,0,0,0,0.0,,0,False,0,0,0,No path found
78,RakabGanj,-80926768#4,24584377#2,1,0,34,1718.5300000000004,,0,False,35,33,4,
79,RakabGanj,-24584421#0,-24584426#0,1,0,4,302.0,,0,False,4,4,4,
80,RakabGanj,-1122220362#0,24584381#4,0,0,0,0.0,,0,False,0,0,0,No path found
81,RakabGanj,-24584420#9,717907807#3,0,0,0,0.0,,0,False,0,0,0,No path found
82,RakabGanj,612734126#1,-1183653757#0,0,0,0,0.0,,0,False,0,0,0,No path found
83,RakabGanj,-24584424#3,24584397,1,0,4,334.21999999999997,,0,False,4,4,4,
84,RakabGanj,-24584417#1,-24583489#9,0,0,0,0.0,,0,False,0,0,0,No path found
85,RakabGanj,758753881#1,24583489#9,0,0,0,0.0,,0,False,0,0,0,No path found
86,RakabGanj,1250154743#0,44277694#0,1,0,3,205.64,,0,False,3,3,3,
