episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,final_edge,num_steps,arrival_success,nodes_expanded,search_depth,max_frontier_size
0,RakabGanj,24584383#2,-1072963716#0,1,60.0,14,614.5400000000001,-1072963716#1,60,True,14,14,4
1,RakabGanj,-371342951#2,-24584503#1,1,513.0,47,2485.7699999999995,24584503#1,513,True,50,44,3
2,RakabGanj,24584504#2,24584414#0,1,49.0,15,492.96000000000004,581245359,49,True,15,15,3
3,RakabGanj,700305760#0,-1271156421#2,1,1000.0,41,2905.6499999999996,1122039120,1000,False,53,29,5
4,RakabGanj,1073010466,-1072978656#0,1,590.0,53,2800.5099999999998,1072963716#0,590,True,54,52,4
5,RakabGanj,-24584418#3,138947059#1,1,398.0,13,1008.02,1072960941#0,398,True,14,12,4
6,RakabGanj,-1072963716#0,-24584420#0,1,88.0,10,525.2399999999999,-24584421#1,88,True,10,10,5
7,RakabGanj,24584385#0,24583487#11,1,1000.0,367,21582.90999999998,24583324#0,1000,False,558,176,5
8,RakabGanj,-24584420#1,24584377#2,1,1000.0,46,2173.06,24584418#3,1000,False,55,37,4
9,RakabGanj,48964551,-1060463406#1,1,1000.0,65,3855.1499999999996,1271156414#1,1000,False,78,52,4
10,RakabGanj,447141151#7,24584420#1,1,1000.0,37,2274.24,1122039120,1000,False,49,25,4
11,RakabGanj,-80926770,-24584383#4,1,394.0,30,1293.2299999999998,-80926764#0,394,True,30,30,4
12,RakabGanj,80926764#4,-80926781#1,1,195.0,22,1838.67,80926781#1,195,True,22,22,4
13,RakabGanj,-1250154743#0,-164786644#0,1,175.0,39,2217.820000000001,164786644#0,175,True,39,39,4
14,RakabGanj,611866595#0,24584378#7,1,415.0,33,1337.45,24584378#5,415,True,34,32,4
15,RakabGanj,447141155#0,24584503#2,1,422.0,20,1503.9500000000003,24584503#1,422,True,22,18,4
16,RakabGanj,24583332#4,80926778#10,1,1000.0,391,23293.149999999983,24584418#3,1000,False,715,67,5
17,RakabGanj,1066625119#0,24583487#8,1,1000.0,280,17236.570000000003,1072978656#3,1000,False,401,159,5
18,RakabGanj,581245359,24584380#9,1,1000.0,109,7480.500000000002,-24584420#2,1000,False,185,33,5
19,RakabGanj,665150699#0,24584375#10,1,85.0,18,879.8299999999999,24584375#9,85,True,18,18,5
20,RakabGanj,24584420#6,-1122026496#0,1,1000.0,88,5593.750000000003,1271156414#1,1000,False,115,61,5
21,RakabGanj,-24584420#8,-686834805#0,1,119.0,29,1341.99,-686834805#1,119,True,29,29,4
22,RakabGanj,-1122257058,-24584507#1,1,930.0,43,4176.4800000000005,24584507#1,930,True,53,33,5
23,RakabGanj,-1271156413#1,-675478334#4,1,1000.0,67,3528.86,-24584420#2,1000,False,76,58,4
24,RakabGanj,24584381#8,1066625120#4,1,1000.0,125,7491.759999999999,-24584420#2,1000,False,163,87,5
25,RakabGanj,1064518284,-24584421#0,1,138.0,28,1533.91,-24584421#1,138,True,28,28,5
