episode,map_name,start_edge,goal_edge,success,total_time,route_length,total_distance,decision_count,final_edge,stuck_time,congestion_event,route_edges,reroute_timestamps,decision_latency_avg,internal_edges_skipped,num_steps,num_edges_visited,arrival_success
1,Rakab Ganj,-24583489#12,717907817#0,0,0.0,0,0.0,3,,0.0,0,-24583489#12,"1.0,2.0,3.0",0.0,0,999,0,0
1,Rakab Ganj,24584381#4,611866595#4,0,0.0,0,0.0,4,,0.0,0,24584381#4,"1.0,2.0,3.0,4.0",0.0,0,999,0,0
1,Rakab Ganj,24584422#1,1287398725#0,0,0.0,0,0.0,7,,0.0,0,24584422#1,"1.0,2.0,3.0,4.0,5.0,6.0,7.0",0.0,0,999,0,0
1,Rakab Ganj,371342951#1,1073010465,0,0.0,0,0.0,3,,0.0,0,371342951#1,"1.0,2.0,3.0",0.0,0,999,0,0
1,Rakab Ganj,371342951#0,1122028505,0,0.0,0,0.0,4,,0.0,0,371342951#0,"1.0,2.0,3.0,4.0",0.0,0,999,0,0
1,Rakab Ganj,-24584381#7,24583489#5,0,0.0,0,0.0,3,,0.0,0,-24584381#7,"23.0,24.0,25.0",0.0,0,999,0,0
1,Safdarjung,-291867522#2,-292023764#4,0,0.0,0,0.0,3,,0.0,0,-291867522#2,"11.0,12.0,13.0",0.0,0,999,0,0
1,Safdarjung,-292027022#3,605695084#2,0,0.0,0,0.0,1,,0.0,0,-292027022#3,1.0,0.0,0,999,0,0
1,Safdarjung,46108379#1,292027344,0,0.0,0,0.0,3,,0.0,0,46108379#1,"1.0,2.0,3.0",0.0,0,999,0,0
1,Chandni Chowk,44141545#18,-744801990,0,0.0,0,0.0,3,,0.0,0,44141545#18,"8.0,9.0,10.0",0.0,0,999,0,0
1,Chandni Chowk,755068998#0,-1070560849#2,0,0.0,0,0.0,1,,0.0,0,755068998#0,1.0,0.0,0,999,0,0
1,Chandni Chowk,-82946096#1,80940694#8,0,0.0,0,0.0,5,,0.0,0,-82946096#1,"1.0,2.0,3.0,4.0,5.0",0.0,0,999,0,0
